Serial,Event,&quot;Parish&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2010-00053,FLOOD,St. Elizabeth,26/09/2010,41,496,0
2010-00052,FLOOD,St. Elizabeth,26/09/2010,5,255,0
1980-00019,SURGE,Portland,05/08/1980,36,0,0
1998-00009,LANDSLIDE,Portland,01/01/1998,18,0,0
1998-00008,FLOOD,Portland,01/01/1998,0,0,0
1998-00007,FLOOD,Portland,01/01/1998,0,0,0
2005-00076,FLOOD,St. Thomas,06/07/2005,0,68,0
1998-00006,LANDSLIDE,Portland,01/01/1998,41,0,0
2005-00075,FLOOD,St. Thomas,06/07/2005,0,14,0
2005-00074,FLOOD,St. Thomas,06/07/2005,9,27,0
2005-00073,FLOOD,St. Thomas,06/07/2005,0,45,0
2005-00072,FLOOD,St. Thomas,06/07/2005,0,45,0
1998-00004,LANDSLIDE,Portland,01/01/1998,131,0,0
2005-00071,HURRICANE,St. Thomas,06/07/2005,0,9,0
2005-00070,FLOOD,St. Thomas,06/07/2005,0,9,0
1998-00003,LANDSLIDE,Portland,01/01/1998,9,0,0
2003-00011,LANDSLIDE,St. Thomas,24/05/2003,0,9,0
2003-00009,FLOOD,St. Thomas,24/05/2003,5,14,0
2003-00008,FLOOD,St. Thomas,24/05/2003,5,9,0
1998-00002,LANDSLIDE,Portland,01/01/1998,50,0,0
2005-00068,FLOOD,St. Andrew,06/07/2005,0,0,0
2005-00067,FLOOD,St. Andrew,06/07/2005,0,18,0
2005-00066,FLOOD,St. Andrew,06/07/2005,27,0,0
2006-00009,FLOOD,St. Andrew,24/05/2006,0,27,0
2006-00008,LANDSLIDE,Portland,23/11/2006,9,0,0
2008-00022,FLOOD,St. Andrew,28/08/2008,99,383,0
2008-00021,STORM,St. Andrew,28/08/2008,27,14,0
2008-00020,STORM,St. Andrew,28/08/2008,810,28,0
2006-00007,FLOOD,Portland,23/11/2006,0,9,0
2006-00006,LANDSLIDE,Portland,23/11/2006,14,0,0
2006-00005,FLOOD,Portland,23/11/2006,5,5,0
2005-00065,FLOOD,St. Catherine,13/10/2005,0,90,0
1980-00012,SURGE,Hanover,05/08/1980,72,0,0
1980-00003,SURGE,St. Mary,05/08/1980,23,0,0
2003-00006,FLOOD,Clarendon,24/05/2003,0,9,0
2003-00005,FLOOD,Clarendon,24/05/2003,0,0,0
2003-00004,FLOOD,St. Catherine,24/05/2003,0,0,0
2003-00002,FLOOD,St. Catherine,24/05/2003,0,45,0
2003-00001,FLOOD,St. Catherine,24/05/2003,0,135,0
2010-00045,FLOOD,St. Catherine,29/09/2010,32,573,0
2010-00044,FLOOD,St. Catherine,29/09/2010,0,18,0
2010-00043,STORM,Hanover,29/09/2010,14,0,0
2010-00040,FLOOD,St. Catherine,29/09/2010,0,826,0
2010-00039,STORM,Hanover,29/09/2010,23,319,0
2010-00035,STORM,Hanover,27/09/2010,14,385,0
2010-00034,FLOOD,St. Catherine,29/09/2010,135,703,0
2010-00033,STORM,Westmoreland,29/09/2010,36,2174,0
2010-00032,STORM,Westmoreland,29/09/2010,0,148,0
2010-00031,STORM,Westmoreland,29/09/2010,45,842,0
2012-00001,FIRE,Kingston,05/09/2012,0,66,0
2006-00004,FLOOD,St. Mary,23/11/2006,0,135,0
2005-00062,LANDSLIDE,Clarendon,13/10/2005,0,5,0
2005-00061,LANDSLIDE,Clarendon,13/10/2005,0,5,0
2005-00057,LANDSLIDE,Clarendon,13/10/2005,0,5,0
2010-00030,STORM,Westmoreland,29/09/2010,0,0,0
2005-00055,LANDSLIDE,St. Catherine,13/10/2005,5,0,0
2010-00029,STORM,Westmoreland,29/09/2010,104,536,0
2005-00054,FLOOD,Clarendon,13/10/2005,0,27,0
2010-00028,STORM,Westmoreland,29/09/2010,36,326,0
2010-00027,STORM,Westmoreland,29/09/2010,36,413,0
2005-00052,FLOOD,Clarendon,13/10/2005,18,189,0
2005-00051,FLOOD,Clarendon,13/10/2005,0,0,0
2005-00049,FLOOD,St. Catherine,13/10/2005,0,54,0
2005-00048,FLOOD,St. Catherine,13/10/2005,0,54,0
2010-00026,STORM,Westmoreland,29/09/2010,0,3179,0
2005-00046,FLOOD,St. Catherine,13/10/2005,0,90,0
2005-00045,FLOOD,Trelawny,16/07/2005,0,27,0
2005-00044,FLOOD,Trelawny,16/07/2005,0,0,0
2005-00043,FLOOD,St. Catherine,13/10/2005,0,14,0
2005-00042,FLOOD,Trelawny,16/07/2005,0,13,0
2005-00040,FLOOD,Trelawny,16/07/2005,0,36,0
2005-00039,HURRICANE,St. Andrew,16/05/2005,0,8321,0
2007-00017,HURRICANE,Manchester,19/08/2007,7343,16001,0
2005-00035,HURRICANE,Portland,06/07/2005,0,7784,0
2005-00034,HURRICANE,St. Thomas,06/07/2005,0,23254,0
2005-00033,HURRICANE,Manchester,16/07/2005,0,7568,0
2005-00032,HURRICANE,Hanover,16/07/2005,0,0,0
2005-00031,HURRICANE,St. Andrew,06/07/2005,0,32558,0
2005-00030,HURRICANE,St. James,16/07/2005,0,1397,0
2007-00016,HURRICANE,Portland,19/08/2007,3335,7223,0
2005-00029,HURRICANE,Manchester,06/07/2005,0,225,0
2007-00015,HURRICANE,St. Thomas,19/08/2007,8100,21049,0
2005-00028,HURRICANE,Westmoreland,06/07/2005,0,7803,0
2007-00014,HURRICANE,St. Andrew,19/08/2007,13608,27396,0
2005-00027,HURRICANE,Hanover,06/07/2005,0,4781,0
2005-00026,HURRICANE,St. James,06/07/2005,0,5702,0
2010-00025,STORM,Clarendon,26/09/2010,131,46499,0
2010-00024,STORM,St. Catherine,26/09/2010,365,178404,0
2010-00023,STORM,Manchester,26/09/2010,54,7770,1553847.95
2010-00022,STORM,Portland,26/09/2010,27,390,0
2010-00021,STORM,Portland,26/09/2010,0,390,0
2002-00013,FLOOD,Manchester,22/05/2002,0,96200,4078431
2010-00020,STORM,St. Thomas,26/09/2010,86,9853,0
2010-00019,STORM,St. Andrew,26/09/2010,405,94609,0
2005-00025,HURRICANE,St. Mary,16/07/2005,0,5529,0
2008-00019,STORM,Manchester,28/09/2008,0,13660,1408827.5
2005-00024,HURRICANE,Trelawny,06/07/2005,0,2013,0
2005-00023,HURRICANE,Trelawny,16/07/2005,0,0,0
2004-00022,HURRICANE,Trelawny,10/09/2004,1530,3668,195350.3
2005-00022,HURRICANE,Trelawny,13/10/2005,0,0,0
2002-00012,FLOOD,Portland,22/05/2002,5,39700,0
2002-00011,FLOOD,Trelawny,22/05/2002,9,36241,258679.1
2008-00018,STORM,Trelawny,28/08/2008,9,10378,630518.8
2010-00018,STORM,Trelawny,26/09/2010,45,6033,789556.4
2007-00013,HURRICANE,Trelawny,19/08/2007,1220,230,2578420.1
2005-00021,HURRICANE,Manchester,13/10/2005,0,22423,0
2002-00010,FLOOD,St. Thomas,22/05/2002,27,46350,0
2005-00020,HURRICANE,St. Ann,06/07/2005,0,1782,0
2005-00019,HURRICANE,St. Ann,16/07/2005,0,11947,0
2004-00021,HURRICANE,St. Ann,10/09/2004,13478,11137,143687.4
2002-00009,FLOOD,St. Andrew,22/05/2002,0,359950,0
2004-00020,HURRICANE,Manchester,10/09/2004,21069,13127,0
2008-00017,STORM,Portland,28/08/2008,3240,11827,0
2005-00018,HURRICANE,St. Ann,13/10/2005,0,7894,226982.1
2002-00008,FLOOD,St. Ann,22/05/2002,9,83641,4907368.4
2008-00016,STORM,St. Ann,28/08/2008,14,23432,1523316.8
2007-00012,HURRICANE,Westmoreland,19/08/2007,447,913,1018099
2007-00011,HURRICANE,Hanover,19/08/2007,914,1611,1752624
2007-00010,HURRICANE,St. James,19/08/2007,1742,5337,3284836
2010-00009,STORM,Westmoreland,26/09/2010,626,36232,1986098
2008-00015,STORM,St. Thomas,28/08/2008,1670,20011,0
2007-00009,HURRICANE,St. Elizabeth,19/08/2007,9143,13512,0
2010-00008,STORM,Hanover,26/09/2010,50,32007,1600605
2010-00007,STORM,St. James,26/09/2010,194,36304,1449982
2007-00008,HURRICANE,St. Catherine,19/08/2007,13136,10309,0
2007-00007,HURRICANE,Clarendon,19/08/2007,29196,21229,0
2005-00017,HURRICANE,St. Elizabeth,16/07/2005,0,21343,0
2008-00014,STORM,St. Andrew,28/08/2008,2453,126156,0
2008-00013,STORM,Westmoreland,28/08/2008,23,19765,645678
2008-00011,STORM,Hanover,28/08/2008,144,9489,1657607
2008-00010,STORM,St. James,28/08/2008,23,15074,1442192
2005-00016,HURRICANE,St. Elizabeth,06/07/2005,0,6345,0
2010-00003,STORM,St. Ann,26/09/2010,0,14982,714285.7
2008-00009,STORM,St. Catherine,28/08/2008,927,111639,0
2007-00006,HURRICANE,St. Ann,19/08/2007,1152,984,3446384.3
2008-00008,STORM,Clarendon,28/08/2008,32,25680,0
2005-00015,HURRICANE,Portland,13/10/2005,0,4744,0
2002-00007,FLOOD,St. Catherine,22/05/2002,54,207296,0
2005-00014,HURRICANE,St. Mary,06/07/2005,0,5529,0
2005-00013,HURRICANE,St. Thomas,13/10/2005,0,21958,0
2002-00006,FLOOD,Clarendon,22/05/2002,63,114637,0
2002-00005,FLOOD,Westmoreland,22/05/2002,0,70900,1432405
2002-00004,FLOOD,Hanover,22/05/2002,243,33357,136987
2005-00012,HURRICANE,St. Catherine,13/10/2005,0,83741,0
2002-00003,FLOOD,St. James,22/05/2002,117,91183,287389
2010-00002,STORM,St. Elizabeth,26/09/2010,198,33879,5219932.4
2002-00002,FLOOD,St. Mary,22/05/2002,0,56450,384932.9
2005-00011,HURRICANE,Clarendon,13/10/2005,0,86362,0
2005-00010,HURRICANE,Hanover,13/10/2005,0,5837,47954
2004-00019,HURRICANE,St. Catherine,10/09/2004,24251,7564,0
2005-00009,HURRICANE,St. James,13/10/2005,0,11726,13411
2005-00008,HURRICANE,St. Andrew,13/10/2005,0,79528,0
2004-00018,HURRICANE,Clarendon,10/09/2004,48758,37719,0
2005-00007,HURRICANE,Westmoreland,13/10/2005,0,5800,0
2008-00003,STORM,St. Mary,28/08/2008,468,23036,21765314.6
2002-00001,FLOOD,St. Elizabeth,22/05/2002,0,74150,5581527.3
2004-00017,HURRICANE,St. Thomas,10/09/2004,13041,13221,0
2005-00006,HURRICANE,St. Catherine,16/07/2005,0,27274,0
2010-00001,HURRICANE,St. Mary,26/09/2010,198,9358,12873792.1
2004-00016,HURRICANE,Portland,10/09/2004,6543,7407,0
2004-00015,HURRICANE,Westmoreland,10/09/2004,16223,35410,92025
2005-00005,HURRICANE,Clarendon,16/07/2005,5,18745,0
2007-00001,HURRICANE,St. Mary,19/08/2007,0,6925,5941517.1
2008-00001,STORM,St. Elizabeth,28/08/2008,0,34218,69358.6
2004-00011,HURRICANE,Hanover,10/09/2004,17586,9909,130772
2005-00004,HURRICANE,St. Elizabeth,13/10/2005,0,18323,0
2004-00008,HURRICANE,St. James,10/09/2004,13500,13995,27456
2005-00003,HURRICANE,St. Mary,13/10/2005,0,8482,0
2005-00002,HURRICANE,St. Catherine,06/07/2005,0,100744,0
2004-00003,HURRICANE,St. Mary,10/09/2004,16875,12843,3228.9
2004-00002,HURRICANE,St. Andrew,10/09/2004,22761,16434,0
2004-00001,HURRICANE,St. Elizabeth,10/09/2004,21110,33197,0
2005-00001,HURRICANE,Clarendon,06/07/2005,5,10782,0
127,POLLUTION,Kingston,09/10/1987,0,0,0
126,POLLUTION,St. Thomas,21/09/1987,0,0,0
125,POLLUTION,St. Ann,21/02/1984,0,0,0
124,POLLUTION,St. Catherine,27/01/1984,0,0,0
123,FIRE,St. Catherine,04/01/1989,0,0,0
122,FIRE,St. Thomas,01/09/1988,3,0,0
121,FIRE,St. Thomas,22/03/1985,0,0,0
120,EPIDEMIC,St. Catherine,1989/0/0,0,0,0
119,EPIDEMIC,Clarendon,1989/0/0,0,0,0
118,EPIDEMIC,Westmoreland,1989/0/0,0,0,0
117,EPIDEMIC,St. Thomas,1989/0/0,0,0,0
116,EPIDEMIC,St. Andrew,1989/0/0,0,0,0
115,EPIDEMIC,Kingston,1989/0/0,0,0,0
114,EPIDEMIC,St. Catherine,1988/0/0,0,0,0
113,EPIDEMIC,Manchester,1988/0/0,0,0,0
112,EPIDEMIC,St. James,1988/0/0,0,0,0
111,EPIDEMIC,St. Ann,1988/0/0,0,0,0
110,EPIDEMIC,St. Mary,1988/0/0,0,0,0
109,EPIDEMIC,St. Thomas,1988/0/0,0,0,0
108,EPIDEMIC,St. Andrew,1988/0/0,0,0,0
107,EPIDEMIC,Kingston,1988/0/0,0,0,0
106,EPIDEMIC,St. Catherine,1987/0/0,0,0,0
105,EPIDEMIC,Clarendon,1987/0/0,0,0,0
104,EPIDEMIC,St. Ann,1987/0/0,0,0,0
103,EPIDEMIC,St. Mary,1987/0/0,0,0,0
102,EPIDEMIC,Portland,1987/0/0,0,0,0
101,EPIDEMIC,St. Thomas,1987/0/0,0,0,0
100,EPIDEMIC,St. Andrew,1987/0/0,0,0,0
99,EPIDEMIC,Kingston,1987/0/0,0,0,0
98,EPIDEMIC,St. Catherine,1986/0/0,0,0,0
97,EPIDEMIC,Clarendon,1986/0/0,0,0,0
96,EPIDEMIC,Manchester,1986/0/0,0,0,0
95,EPIDEMIC,St. Elizabeth,1986/0/0,0,0,0
94,EPIDEMIC,St. James,1986/0/0,0,0,0
93,EPIDEMIC,Trelawny,1986/0/0,0,0,0
92,EPIDEMIC,St. Ann,1986/0/0,0,0,0
