Serial,Event,&quot;Parish&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
6293,ELECTRICSTORM,Clarendon,17/05/1979,0,0,0
6292,HAILSTORM,St. Andrew,18/05/1979,0,0,0
6291,RAIN,St. Mary,02/01/1980,0,0,0
6290,RAIN,St. Ann,02/01/1980,0,0,0
6289,RAIN,Portland,02/01/1980,0,0,0
6288,FLOOD,Portland,04/12/1979,0,0,0
6287,FLOOD,St. Mary,04/12/1979,0,0,0
6286,FLOOD,St. Ann,04/12/1979,1590,0,0
6285,LANDSLIDE,St. Andrew,18/09/1979,0,0,0
6284,FLOOD,Clarendon,14/09/1979,232,0,0
6283,FLOOD,Portland,14/09/1979,1200,0,0
6282,FLOOD,St. Thomas,14/09/1979,400,0,0
6281,RAIN,St. Andrew,06/09/1979,0,0,0
6280,RAIN,Manchester,06/09/1979,0,0,0
6279,RAIN,Kingston,06/09/1979,0,0,0
6278,RAIN,St. Ann,06/09/1979,0,0,0
6277,RAIN,St. Catherine,06/09/1979,0,0,0
6276,RAIN,Clarendon,06/09/1979,0,0,0
6275,RAIN,St. Mary,06/09/1979,0,0,0
6274,RAIN,Portland,06/09/1979,0,0,0
6273,FLOOD,St. Thomas,06/09/1979,0,0,0
6272,PANIC,St. Elizabeth,06/08/1979,0,0,0
6271,LANDSLIDE,Manchester,28/07/1979,0,0,0
6270,RAIN,Portland,21/07/1979,0,0,0
6269,RAIN,St. Elizabeth,20/07/1979,0,0,0
6268,RAIN,Kingston,20/07/1979,0,0,0
6267,RAIN,St. Thomas,20/07/1979,0,0,0
6266,FLOOD,St. Elizabeth,06/05/1979,0,0,0
6266,RAIN,Trelawny,04/06/1979,0,0,0
6265,FLOOD,St. Elizabeth,04/06/1979,1500,3000,0
6264,RAIN,Clarendon,04/06/1979,0,0,0
6262,FLOOD,Hanover,04/06/1979,90,800,0
6261,FLOOD,Westmoreland,04/06/1979,28649,0,0
5260,FLOOD,St. James,04/06/1979,0,20000,0
6257,RAIN,St. Andrew,05/06/1979,0,0,0
6259,FLOOD,St. Catherine,05/06/1979,0,0,0
6258,RAIN,St. Thomas,05/06/1979,0,0,0
6256,FLOOD,St. Ann,12/05/1979,0,0,0
6255,ELECTRICSTORM,Portland,10/04/1979,0,0,0
6254,RAIN,St. Ann,25/04/1979,0,400,0
6253,RAIN,St. Thomas,27/04/1979,0,0,0
6252,RAIN,Manchester,24/04/1979,0,0,0
6251,FLOOD,St. Andrew,26/04/1979,0,0,0
6250,FLOOD,St. James,25/04/1979,0,0,0
6249,FLOOD,St. James,25/04/1979,0,0,0
6248,FLOOD,Hanover,25/04/1979,0,0,0
6247,FLOOD,Westmoreland,25/04/1979,0,0,0
6246,STRONGWIND,St. Ann,01/11/1978,0,0,0
6245,FLOOD,Trelawny,03/11/1978,0,0,0
6244,ELECTRICSTORM,Portland,03/11/1978,0,0,0
6243,RAIN,St. Thomas,03/11/1978,0,0,0
6242,RAIN,St. Elizabeth,18/10/1978,0,0,0
6241,ELECTRICSTORM,St. Elizabeth,04/09/1978,0,0,0
6240,FLOOD,Clarendon,20/10/1978,0,0,0
6239,FLOOD,Westmoreland,20/10/1978,600,0,0
6238,RAIN,Kingston,20/10/1978,0,0,0
6237,RAIN,St. Catherine,20/10/1978,0,0,0
6236,RAIN,Manchester,20/10/1978,0,0,0
6235,RAIN,St. Elizabeth,20/10/1978,0,0,0
6234,RAIN,Hanover,20/10/1978,0,0,0
6233,RAIN,St. Ann,20/10/1978,0,0,0
6232,ELECTRICSTORM,Manchester,13/10/1978,0,0,0
6231,RAIN,St. James,18/10/1978,0,0,0
6230,RAIN,Clarendon,26/09/1978,0,0,0
6229,RAIN,St. Ann,02/08/1978,0,0,0
6228,RAIN,Trelawny,04/10/1978,0,0,0
6227,RAIN,Westmoreland,04/10/1978,0,0,0
6226,RAIN,St. James,04/10/1978,0,0,0
6225,RAIN,Hanover,04/10/1978,0,0,0
6224,RAIN,Clarendon,19/09/1978,0,0,0
6223,RAIN,Kingston,13/09/1978,0,0,0
6222,ALLUVION,Westmoreland,13/09/1978,0,0,0
6221,FLOOD,St. Andrew,13/09/1978,0,0,0
6220,FLOOD,St. Elizabeth,28/07/1978,0,0,0
6219,FLOOD,Westmoreland,06/06/1978,0,0,0
6218,FLOOD,St. James,31/05/1978,0,0,0
6217,FLOOD,Hanover,31/05/1978,0,0,0
6216,FLOOD,Westmoreland,31/05/1978,0,0,0
6215,DROUGHT,Kingston,19/02/1977,0,0,0
6214,PLAGUE,St. Ann,18/05/1978,0,0,0
6213,FLOOD,St. Ann,10/05/1978,0,0,0
6212,FLOOD,Kingston,29/05/1978,0,0,0
6211,FLOOD,St. Thomas,29/05/1978,0,0,0
6210,FLOOD,Portland,29/05/1978,0,0,0
6209,FLOOD,St. Elizabeth,26/05/1978,0,0,0
6208,SURGE,St. Andrew,02/05/1978,0,0,0
6207,SURGE,Clarendon,28/04/1978,0,0,0
6206,FLOOD,St. Thomas,07/03/1978,0,0,0
6205,FLOOD,Kingston,09/02/1978,0,0,0
6204,FLOOD,St. Mary,10/01/1978,0,0,0
6203,FLOOD,Hanover,10/01/1978,0,0,0
6202,FLOOD,St. James,10/01/1978,0,0,0
6201,OTHER,Manchester,21/02/1981,0,0,0
6200,FIRE,St. James,10/01/1981,0,0,6982000
6199,FIRE,Trelawny,16/08/1982,0,0,0
6198,FIRE,St. Andrew,20/05/1980,0,0,0
6197,FIRE,St. Catherine,19/05/1980,0,0,0
6196,FIRE,St. James,13/04/1980,30,0,0
6195,FIRE,Trelawny,12/04/1980,0,0,0
6194,FIRE,Kingston,29/04/1980,0,222,0
6193,FIRE,St. Andrew,28/04/1980,0,0,0
6192,FIRE,Manchester,10/04/1980,0,0,0
6191,FIRE,St. Andrew,08/04/1980,0,0,0
6190,FIRE,St. James,03/04/1980,0,0,0
6189,FIRE,St. Andrew,20/01/1980,1,0,0
6188,FIRE,St. James,12/01/1980,0,150,0
6187,FIRE,Clarendon,08/01/1980,0,0,0
6186,FIRE,Kingston,31/12/1979,0,0,0
6185,FIRE,Hanover,24/11/1979,0,0,0
6184,FIRE,St. Andrew,21/10/1979,0,0,0
6183,FIRE,St. Elizabeth,20/10/1979,7,0,0
6182,FIRE,St. Andrew,18/10/1979,45,0,0
6181,FIRE,St. James,04/09/1979,0,0,0
6180,FIRE,Hanover,11/05/1979,0,0,0
6179,FIRE,Trelawny,04/08/1979,0,0,0
6178,FIRE,Clarendon,01/07/1979,0,0,0
6177,FIRE,St. Catherine,28/06/1979,0,0,0
6176,FIRE,Clarendon,25/05/1979,0,0,0
6175,FIRE,St. Catherine,23/04/1979,0,0,0
6174,FIRE,St. Andrew,23/05/1979,6,0,0
6173,FIRE,Trelawny,01/04/1979,0,0,0
6172,FIRE,St. Andrew,05/05/1979,0,0,0
6171,FIRE,St. Andrew,06/05/1979,0,0,0
6170,FIRE,St. Andrew,06/05/1979,0,0,0
6169,FIRE,Hanover,23/02/1979,0,0,0
6168,FIRE,St. Catherine,24/04/1979,0,0,0
6167,FIRE,St. Andrew,26/04/1979,0,0,0
6166,FIRE,Westmoreland,16/04/1979,0,0,0
6165,FIRE,Clarendon,19/04/1979,0,0,0
6164,FIRE,Kingston,16/04/1979,0,0,0
6163,FIRE,St. Thomas,13/03/1979,1,0,0
6162,FIRE,St. Elizabeth,12/03/1979,0,0,0
6161,FIRE,St. Andrew,21/03/1979,0,0,0
6160,FIRE,St. Andrew,20/03/1979,0,0,0
6159,FIRE,Kingston,28/02/1979,0,0,0
6158,FIRE,Kingston,28/02/1979,0,0,0
6157,FIRE,St. Andrew,06/02/1979,0,0,0
6156,FIRE,St. Andrew,02/02/1979,0,0,0
6155,FIRE,St. Andrew,21/01/1979,0,0,0
6154,FIRE,St. Andrew,21/01/1979,0,0,0
6153,FIRE,Kingston,20/01/1979,0,2,0
6152,FIRE,Westmoreland,20/01/1979,0,0,0
6151,FIRE,Kingston,19/01/1979,1,0,0
6150,FIRE,St. James,11/12/1978,0,0,0
6149,FORESTFIRE,Trelawny,03/12/1978,0,0,0
6148,FIRE,St. Catherine,08/12/1978,0,0,0
6147,FIRE,Clarendon,22/11/1978,0,0,0
6146,FIRE,Kingston,17/11/1978,8,0,0
6145,FIRE,Hanover,29/10/1978,0,0,0
6133,FIRE,Kingston,09/06/1978,0,75,0
6132,FIRE,Kingston,03/05/1978,0,0,0
6131,FIRE,Kingston,04/04/1978,0,78,0
6130,FIRE,Hanover,11/03/1978,0,0,0
6129,FIRE,St. James,03/02/1978,0,0,0
6128,FIRE,St. Andrew,28/01/1978,1,0,0
6127,FIRE,St. Andrew,22/01/1978,0,200,0
6126,FIRE,St. Ann,12/01/1978,0,0,0
6125,FIRE,St. Andrew,18/01/1978,0,0,0
6124,FIRE,St. Ann,30/12/1977,0,0,0
6123,FIRE,Clarendon,29/12/1977,0,4,0
6122,DROUGHT,St. Mary,16/08/1978,0,0,0
6121,DROUGHT,St. Ann,20/04/1980,0,0,0
6120,DROUGHT,St. Catherine,20/04/1980,0,0,0
6119,STRUCTURE,St. James,05/07/1979,0,0,0
6118,STRUCTURE,St. Mary,26/04/1979,0,0,0
6117,STRUCTURE,Clarendon,31/05/1980,0,0,0
6116,STRUCTURE,St. Mary,05/05/1978,0,0,0
6115,EPIDEMIC,St. Catherine,31/12/1983,0,0,0
6114,EPIDEMIC,Clarendon,31/12/1983,0,0,0
6113,EPIDEMIC,Manchester,31/12/1983,0,0,0
6112,EPIDEMIC,St. Elizabeth,31/12/1983,0,0,0
6111,EPIDEMIC,Westmoreland,31/12/1983,0,0,0
6110,EPIDEMIC,St. James,31/12/1983,0,0,0
6109,EPIDEMIC,St. Ann,31/12/1983,0,0,0
6108,EPIDEMIC,Portland,13/12/1983,0,0,0
6107,EPIDEMIC,St. Thomas,31/12/1983,0,0,0
6106,EPIDEMIC,Kingston,31/12/1983,0,0,0
6105,EPIDEMIC,St. Catherine,31/12/1982,0,0,0
6104,EPIDEMIC,Manchester,31/12/1982,0,0,0
6103,EPIDEMIC,St. Elizabeth,31/12/1982,0,0,0
6102,EPIDEMIC,Westmoreland,31/12/1982,0,0,0
6101,EPIDEMIC,Hanover,31/12/1982,0,0,0
6100,EPIDEMIC,St. James,31/12/1982,0,0,0
6099,EPIDEMIC,Trelawny,31/12/1982,0,0,0
6098,EPIDEMIC,St. Ann,31/12/1982,0,0,0
6097,EPIDEMIC,St. Mary,31/12/1982,0,0,0
6096,EPIDEMIC,Kingston,31/12/1982,0,0,0
6095,EPIDEMIC,St. Catherine,31/12/1981,0,0,0
6094,EPIDEMIC,Clarendon,31/12/1981,0,0,0
6093,EPIDEMIC,Manchester,31/12/1981,0,0,0
6092,EPIDEMIC,St. Elizabeth,31/12/1981,0,0,0
6091,EPIDEMIC,Westmoreland,31/12/1981,0,0,0
6090,EPIDEMIC,Hanover,31/12/1981,0,0,0
6089,EPIDEMIC,St. James,31/12/1981,0,0,0
6088,EPIDEMIC,St. Ann,31/12/1981,0,0,0
6087,EPIDEMIC,Portland,31/12/1981,0,0,0
6086,EPIDEMIC,St. Thomas,31/12/1981,0,0,0
6085,EPIDEMIC,Kingston,31/12/1981,0,0,0
6084,EPIDEMIC,St. Catherine,31/12/1980,0,0,0
6083,EPIDEMIC,Manchester,31/12/1980,0,0,0
6082,EPIDEMIC,St. Elizabeth,31/12/1980,0,0,0
6081,EPIDEMIC,Westmoreland,31/12/1980,0,0,0
6080,EPIDEMIC,Hanover,31/12/1980,0,0,0
6079,EPIDEMIC,St. James,31/12/1980,0,0,0
6078,EPIDEMIC,Trelawny,31/12/1980,0,0,0
6077,EPIDEMIC,St. Mary,31/12/1980,0,0,0
6076,EPIDEMIC,Portland,31/12/1980,0,0,0
6075,EPIDEMIC,St. Thomas,31/12/1980,0,0,0
6074,EPIDEMIC,Kingston,31/12/1980,0,0,0
6073,EPIDEMIC,St. Catherine,31/12/1979,0,0,0
6072,EPIDEMIC,Clarendon,31/12/1979,0,0,0
6071,EPIDEMIC,St. Elizabeth,31/12/1979,0,0,0
6070,EPIDEMIC,Westmoreland,31/12/1979,0,0,0
6069,EPIDEMIC,Hanover,31/12/1979,0,0,0
6068,EPIDEMIC,St. James,31/12/1979,0,0,0
6067,EPIDEMIC,Trelawny,31/12/1979,0,0,0
6066,EPIDEMIC,St. Mary,31/12/1979,0,0,0
6065,EPIDEMIC,Portland,31/12/1979,0,0,0
6064,EPIDEMIC,St. Thomas,31/12/1979,0,0,0
6063,EPIDEMIC,Kingston,31/12/1979,0,0,0
6062,EPIDEMIC,St. Catherine,31/12/1978,0,0,0
6061,EPIDEMIC,Clarendon,31/12/1978,0,0,0
6060,EPIDEMIC,Manchester,31/12/1978,0,0,0
6059,EPIDEMIC,Westmoreland,31/12/1978,0,0,0
6058,EPIDEMIC,St. Ann,31/12/1978,0,0,0
6057,EPIDEMIC,St. Mary,31/12/1978,0,0,0
6056,EPIDEMIC,Portland,31/12/1978,0,0,0
6055,EPIDEMIC,Kingston,31/12/1978,0,0,0
6054,EPIDEMIC,St. Ann,10/03/1978,0,0,0
6053,EPIDEMIC,Westmoreland,25/04/1978,0,0,0
6052,EPIDEMIC,St. Thomas,02/02/1978,0,0,0
6051,EPIDEMIC,St. Elizabeth,02/02/1978,0,0,0
6050,EPIDEMIC,St. Catherine,02/02/1978,0,0,0
6049,EPIDEMIC,St. Mary,02/02/1978,0,0,0
6048,EPIDEMIC,Clarendon,02/02/1978,0,0,0
6047,EPIDEMIC,Clarendon,18/01/1980,0,0,0
6046,EPIDEMIC,St. Thomas,21/08/1979,0,0,0
6045,EPIDEMIC,St. Thomas,31/12/1978,0,0,0
6044,PLAGUE,St. James,16/12/1978,0,0,0
6043,PLAGUE,Trelawny,16/12/1978,0,0,0
6042,PLAGUE,Westmoreland,16/12/1978,0,0,0
6041,PLAGUE,Hanover,16/12/1978,0,0,0
6040,PLAGUE,St. Andrew,16/12/1978,0,0,0
6039,PLAGUE,Portland,16/12/1978,0,0,0
6038,PLAGUE,St. Thomas,16/12/1978,0,0,0
6037,PLAGUE,St. Mary,16/12/1978,0,0,0
6036,PLAGUE,St. Catherine,16/12/1978,0,0,0
6035,PLAGUE,St. Ann,16/12/1978,0,0,0
6034,PLAGUE,Clarendon,16/12/1978,0,0,0
6033,EPIDEMIC,St. James,31/12/1978,0,0,0
6032,EPIDEMIC,St. Elizabeth,31/12/1978,0,0,0
6031,PLAGUE,St. Ann,01/11/1978,0,0,0
6030,PLAGUE,Westmoreland,18/09/1978,0,0,0
6029,PLAGUE,St. Ann,14/03/1978,0,0,0
6028,EPIDEMIC,Clarendon,06/03/1978,0,0,0
6027,EPIDEMIC,St. Thomas,28/03/1978,0,0,0
6026,EPIDEMIC,St. Ann,30/01/1978,0,0,0
6025,EPIDEMIC,Kingston,24/02/1978,0,0,0
6024,EARTHQUAKE,Kingston,29/09/1983,0,0,0
6023,EARTHQUAKE,St. Elizabeth,25/09/1983,0,0,0
6022,EARTHQUAKE,Kingston,10/06/1983,0,0,0
6021,EARTHQUAKE,Manchester,07/05/1983,0,0,0
6020,EARTHQUAKE,St. Elizabeth,29/03/1983,0,0,0
6019,EARTHQUAKE,Kingston,20/03/1983,0,0,0
6018,EARTHQUAKE,St. Elizabeth,19/02/1983,0,0,0
6017,EARTHQUAKE,Portland,22/11/1982,0,0,0
6016,EARTHQUAKE,St. Andrew,28/09/1982,0,0,0
6015,EARTHQUAKE,Portland,25/05/1982,0,0,0
6014,EARTHQUAKE,Trelawny,09/04/1982,0,0,0
6013,EARTHQUAKE,St. Andrew,25/03/1981,0,0,0
6012,EARTHQUAKE,Portland,25/03/1981,0,0,0
6011,EARTHQUAKE,Manchester,23/03/1981,0,0,0
6010,EARTHQUAKE,St. Andrew,17/01/1981,0,0,0
6009,EARTHQUAKE,Portland,17/01/1981,0,0,0
6008,EARTHQUAKE,Clarendon,12/12/1980,0,0,0
6007,EARTHQUAKE,Kingston,16/11/1980,0,0,0
6006,EARTHQUAKE,St. Elizabeth,11/09/1980,0,0,0
6005,EARTHQUAKE,Portland,05/06/1980,0,0,0
6004,EARTHQUAKE,Kingston,27/05/1980,0,0,0
6003,EARTHQUAKE,Kingston,26/09/1978,0,0,0
6002,EARTHQUAKE,Portland,26/02/1978,0,0,0
6001,EARTHQUAKE,Portland,26/02/1978,0,0,0
2204,EPIDEMIC,St. Mary,1995/12/0,0,0,0
2203,FIRE,St. Catherine,1991/1/0,0,0,0
2202,FIRE,Kingston,1991/1/0,0,0,0
2201,EXPLOSION,St. James,07/05/1990,0,0,5000
2200,FIRE,Kingston,10/02/1994,0,25,0
2198,FIRE,St. Mary,02/02/1994,0,15,0
2197,FIRE,St. Elizabeth,01/02/1994,0,0,0
2196,FIRE,Westmoreland,24/01/1994,0,0,5900
2195,FIRE,Kingston,13/01/1994,0,0,0
2194,FIRE,Hanover,12/01/1994,0,0,47000
2193,FIRE,Manchester,11/01/1994,0,15,0
2192,FIRE,Clarendon,03/01/1994,0,0,4760000
2191,FIRE,Kingston,02/01/1994,0,22,10000
2190,FIRE,Kingston,01/01/1994,0,22,0
2189,FIRE,Kingston,1994/1/0,0,5,0
2188,EXPLOSION,Kingston,1993/0/0,0,0,0
2187,EPIDEMIC,Clarendon,1995/0/0,0,0,0
2186,EPIDEMIC,Westmoreland,1995/0/0,0,0,0
2184,EPIDEMIC,St. James,1995/0/0,0,0,0
2183,EPIDEMIC,Kingston,1995/0/0,0,0,0
2182,EPIDEMIC,Hanover,1994/0/0,0,0,0
2181,EPIDEMIC,Hanover,1994/0/0,0,0,0
2180,EPIDEMIC,Hanover,1994/0/0,0,0,0
2179,EPIDEMIC,St. James,1994/0/0,0,0,0
2178,EPIDEMIC,Kingston,1994/0/0,0,0,0
2177,EPIDEMIC,St. James,1995/0/0,0,0,0
2176,EPIDEMIC,St. James,1993/0/0,0,0,0
2175,EPIDEMIC,Kingston,1993/0/0,0,0,0
2174,EPIDEMIC,St. Catherine,1992/0/0,0,0,0
2173,EPIDEMIC,St. Elizabeth,1992/0/0,0,0,0
2172,EPIDEMIC,Westmoreland,1992/0/0,0,0,0
2171,EPIDEMIC,St. James,1992/0/0,0,0,0
2170,EPIDEMIC,St. Thomas,1992/0/0,0,0,0
2169,EPIDEMIC,Kingston,1992/0/0,0,0,0
2168,EPIDEMIC,St. Elizabeth,1991/0/0,0,0,0
2167,EPIDEMIC,Westmoreland,1991/0/0,0,0,0
2166,EPIDEMIC,St. Mary,1991/0/0,0,0,0
2165,EPIDEMIC,St. Thomas,1991/0/0,0,0,0
2164,EPIDEMIC,Kingston,1991/0/0,0,0,0
2163,EPIDEMIC,St. Catherine,1990/0/0,0,0,0
2162,EPIDEMIC,Clarendon,1990/0/0,0,0,0
2161,EPIDEMIC,Manchester,1990/0/0,1,0,0
2160,EPIDEMIC,St. Elizabeth,1990/0/0,0,0,0
2159,EPIDEMIC,Westmoreland,1990/0/0,188,0,0
2158,EPIDEMIC,Hanover,1990/0/0,0,0,0
2157,EPIDEMIC,St. Mary,1990/0/0,0,0,0
2156,EPIDEMIC,Kingston,1990/0/0,0,0,0
2155,EARTHQUAKE,Portland,13/01/1993,0,0,0
2154,EARTHQUAKE,Clarendon,13/01/1993,0,60,0
2153,EARTHQUAKE,St. Thomas,13/01/1993,0,0,0
2152,EARTHQUAKE,St. Catherine,13/01/1993,0,112,0
2151,EARTHQUAKE,St. Andrew,13/01/1993,0,960,1000000
2150,ELECTRICSTORM,St. Thomas,08/06/1993,0,0,0
2149,FLOOD,Clarendon,10/11/1994,0,0,0
2146,LANDSLIDE,St. Ann,29/12/1995,0,0,0
2145,LANDSLIDE,St. Ann,25/12/1995,0,0,0
2144,LANDSLIDE,St. Andrew,01/05/1995,0,0,0
2143,LANDSLIDE,Kingston,01/05/1995,0,0,0
2142,LANDSLIDE,Clarendon,01/05/1995,0,0,0
2141,LANDSLIDE,St. Catherine,01/05/1995,0,0,0
2140,LANDSLIDE,St. Catherine,11/11/1994,0,0,0
2139,FLOOD,St. Thomas,22/01/1994,0,0,0
2138,LANDSLIDE,Portland,22/01/1994,0,0,0
2137,STRUCTURE,St. Catherine,22/01/1994,0,0,0
2136,LANDSLIDE,St. Andrew,22/01/1994,0,0,0
2135,LANDSLIDE,St. Mary,22/01/1994,0,0,0
2134,LANDSLIDE,Portland,21/04/1993,0,0,0
2133,LANDSLIDE,St. Andrew,21/05/1993,0,0,0
2132,LANDSLIDE,St. Catherine,21/05/1993,0,0,0
2130,FLOOD,St. Mary,24/12/1995,0,0,3569000000
2129,FLOOD,St. Mary,24/12/1995,0,0,479622000
2128,FLOOD,Portland,24/12/1995,0,0,105780000
2127,FLOOD,Portland,24/11/1995,0,0,0
2126,FLOOD,Trelawny,24/11/1995,0,0,0
2125,FLOOD,St. James,24/11/1995,0,0,1559838000
2124,FLOOD,St. Mary,24/11/1995,0,0,63336000
2123,FLOOD,St. Ann,24/11/1995,0,0,165438000
2122,FLOOD,St. Catherine,18/11/1995,0,0,89289000
2121,FLOOD,St. Thomas,12/10/1995,0,400,0
2120,FLOOD,St. Andrew,01/10/1995,0,0,0
2119,FLOOD,Kingston,01/10/1995,0,0,0
2118,FLOOD,St. Mary,01/10/1995,0,0,0
2117,FLOOD,St. Thomas,01/10/1995,0,0,0
2116,FLOOD,Portland,01/10/1995,0,0,0
2115,FLOOD,Trelawny,28/09/1995,0,0,0
2114,FLOOD,Hanover,28/09/1995,0,0,0
2113,FLOOD,Portland,28/09/1995,0,0,0
2112,FLOOD,St. Thomas,28/09/1995,0,0,0
2111,FLOOD,St. Andrew,31/07/1995,0,0,0
2109,ALLUVION,Kingston,01/05/1995,0,0,0
2108,ALLUVION,Kingston,01/05/1995,0,0,0
2107,ALLUVION,Clarendon,01/05/1995,0,0,0
2106,ALLUVION,St. Catherine,01/05/1995,0,0,0
2105,FLOOD,St. Catherine,30/04/1995,0,0,0
2104,FLOOD,Hanover,30/04/1995,0,0,0
2103,FLOOD,Hanover,30/04/1995,0,0,0
2102,FLOOD,Westmoreland,30/04/1995,0,0,0
2101,FLOOD,St. James,30/04/1995,0,0,0
2100,FLOOD,Clarendon,14/12/1994,0,0,0
2099,FLOOD,St. Catherine,14/12/1994,0,428,0
2098,FLOOD,Portland,10/11/1994,0,0,0
2097,FLOOD,St. Catherine,10/11/1994,0,0,0
2096,FLOOD,St. Elizabeth,10/11/1994,0,0,230250
2095,FLOOD,St. Andrew,20/05/1994,0,0,0
2094,FLOOD,St. Elizabeth,19/05/1994,0,0,2882500
2093,FLOOD,Hanover,28/04/1994,0,0,0
2091,FLOOD,St. Thomas,14/12/1993,0,0,0
2090,FLOOD,Clarendon,14/12/1993,0,0,0
2089,FLOOD,St. Catherine,14/12/1993,0,48,0
2088,FLOOD,St. Thomas,21/06/1993,0,0,0
2087,FLOOD,St. Mary,24/05/1993,0,0,0
2086,FLOOD,St. Andrew,24/05/1993,0,0,0
2085,FLOOD,St. Thomas,24/05/1993,0,0,0
2084,FLOOD,Portland,24/05/1993,0,0,0
2082,FLOOD,St. James,18/05/1993,0,0,0
2081,FLOOD,Hanover,18/05/1993,0,0,0
2080,FLOOD,St. Andrew,18/05/1993,0,0,0
2079,FLOOD,Kingston,18/05/1993,0,0,0
2078,FLOOD,St. Catherine,18/05/1993,0,0,0
2077,FLOOD,Clarendon,18/05/1993,0,0,0
2076,FLOOD,Hanover,16/05/1993,0,0,0
2075,FLOOD,Westmoreland,16/05/1993,0,0,0
2074,FLOOD,Portland,16/05/1993,0,0,0
2073,FLOOD,St. Mary,16/05/1993,0,0,0
2072,FLOOD,St. Thomas,10/05/1993,0,0,0
2071,FLOOD,St. Mary,10/03/1993,0,0,0
2070,FLOOD,St. Andrew,10/05/1993,0,0,0
2069,FLOOD,Kingston,10/05/1993,0,0,0
2068,FLOOD,Portland,10/05/1993,0,0,0
2067,FLOOD,Hanover,03/05/1993,0,0,0
2066,FLOOD,St. James,05/05/1993,0,0,0
2064,FLOOD,Clarendon,14/04/1993,0,0,0
2065,FLOOD,St. Thomas,14/04/1993,0,0,0
2063,FLOOD,St. Elizabeth,14/04/1993,0,0,0
2062,LANDSLIDE,St. Andrew,14/04/1993,0,0,0
2061,FLOOD,Manchester,14/04/1993,0,0,86863200
2060,FLOOD,St. Mary,14/04/1993,0,0,308282800
2059,FLOOD,Portland,14/04/1993,0,0,483904000
2058,FLOOD,Clarendon,04/03/1993,0,0,0
2057,FLOOD,Clarendon,04/03/1993,0,0,0
2056,FLOOD,Portland,06/02/1993,0,0,0
2054,FLOOD,St. Catherine,06/02/1993,0,0,0
2053,FLOOD,Kingston,06/02/1993,0,0,0
2052,FLOOD,Portland,25/01/1993,0,0,0
2051,LANDSLIDE,St. Thomas,25/01/1993,0,0,0
2050,LANDSLIDE,St. Mary,21/05/1991,0,0,0
2049,LANDSLIDE,St. Catherine,21/05/1991,0,0,0
2048,LANDSLIDE,Portland,21/05/1991,0,0,0
2047,LANDSLIDE,St. Thomas,21/05/1991,0,0,0
2046,FLOOD,Hanover,21/05/1991,0,0,0
2045,FLOOD,St. Ann,21/05/1991,0,0,0
2044,FLOOD,Westmoreland,21/05/1991,0,0,0
2043,FLOOD,Trelawny,21/05/1991,0,0,0
2042,FLOOD,St. James,21/05/1991,0,0,0
2041,FLOOD,St. Andrew,21/05/1991,0,0,0
2040,FLOOD,Kingston,21/05/1991,0,0,0
2039,FLOOD,St. Ann,21/05/1991,0,0,0
2038,FLOOD,St. Catherine,21/05/1991,0,0,0
2037,STRONGWIND,St. Andrew,20/05/1994,0,0,0
2036,ELECTRICSTORM,St. Ann,25/04/1994,0,0,12500
2035,STRONGWIND,St. James,21/04/1992,0,0,0
2034,HAILSTORM,Manchester,13/04/1993,0,0,54000
2033,HAILSTORM,Manchester,13/04/1993,0,0,3000
2032,ELECTRICSTORM,St. Thomas,08/06/1993,0,0,0
2031,FIRE,St. Andrew,1995/11/0,3,0,0
2030,FIRE,Kingston,1995/8/0,0,60,1500
2029,FIRE,Portland,1995/8/0,0,0,40000
2028,FIRE,St. Andrew,1995/6/0,0,28,0
2027,FIRE,Kingston,1995/6/0,0,0,250000
2026,FIRE,Westmoreland,1995/6/0,0,0,8400
2025,FORESTFIRE,Portland,1995/4/0,0,0,2500
2024,FIRE,Kingston,1995/4/0,0,0,0
2022,FIRE,St. Thomas,1995/5/0,0,0,0
2021,FIRE,Clarendon,10/02/1994,0,0,0
2020,LEAK,Kingston,30/04/1995,0,0,0
2019,LEAK,Kingston,22/06/1993,0,0,0
2018,LEAK,Kingston,14/06/1993,0,0,0
2017,POLLUTION,Manchester,01/06/1993,0,0,0
2016,POLLUTION,Manchester,1993/6/31,0,0,0
2015,LEAK,Trelawny,27/05/1991,0,0,0
2014,POLLUTION,Manchester,21/05/1991,0,0,0
6144,FIRE,St. Ann,23/10/1978,0,3,0
6143,FIRE,St. Andrew,01/10/1978,0,0,0
6142,FIRE,St. Andrew,26/08/1978,0,0,0
6141,FIRE,Trelawny,15/08/1978,0,0,0
6140,FIRE,Trelawny,15/07/1978,12,0,0
6139,FIRE,Kingston,05/08/1978,8,0,0
6138,FIRE,St. James,17/07/1978,0,0,0
6137,FIRE,Kingston,03/07/1978,0,65,0
6136,FIRE,St. James,30/06/1978,0,0,0
6135,FIRE,St. Andrew,28/06/1978,18,0,0
6134,FIRE,St. Andrew,25/06/1978,0,0,0
2013,LEAK,St. Ann,23/08/1995,0,0,0
2012,LEAK,St. James,29/01/1994,0,0,0
2011,POLLUTION,St. Ann,09/01/1994,0,0,0
2010,LEAK,Kingston,25/06/1992,0,0,0
2008,LEAK,Kingston,12/05/1992,0,0,0
2007,POLLUTION,St. Ann,13/04/1992,0,0,0
2006,LEAK,St. James,19/03/1992,0,0,0
