Serial,Event,&quot;Estado&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2013-02786,HAILSTORM,CHIHUAHUA,14/06/2013,0,0,0
2013-02785,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02784,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02783,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02782,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02781,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02780,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02779,FROST,ZACATECAS,27/12/2013,0,0,0
2013-02778,FROST,DURANGO,27/12/2013,0,0,0
2013-02777,FROST,DURANGO,27/12/2013,0,0,0
2013-02776,FROST,DURANGO,27/12/2013,0,0,0
2013-02775,FROST,DURANGO,27/12/2013,0,0,0
2013-02774,FROST,DURANGO,27/12/2013,0,0,0
2013-02773,FROST,DURANGO,27/12/2013,0,0,0
2013-02772,FROST,SONORA,27/12/2013,0,0,0
2013-02771,FROST,SONORA,27/12/2013,0,0,0
2013-02770,FROST,SONORA,27/12/2013,0,0,0
2013-02769,FROST,SONORA,27/12/2013,0,0,0
2013-02768,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02767,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02766,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02765,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02764,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02763,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02762,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02761,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02760,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02759,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02758,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02757,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02756,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02755,FLOOD,NAYARIT,13/11/2013,0,0,0
2013-02754,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02753,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02752,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02751,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02750,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02749,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02748,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02747,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02746,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02745,FLOOD,TABASCO,24/12/2013,0,0,0
2013-02744,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02743,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02742,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02741,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02740,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02739,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02738,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02737,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02736,PLAGUE,ESTADO DE MEXICO,28/12/2013,0,0,0
2013-02735,Onda fría,SINALOA,12/12/2013,0,0,0
2013-02734,Onda fría,SINALOA,12/12/2013,0,0,0
2013-02733,Onda fría,SINALOA,12/12/2013,0,0,0
2013-02732,Onda fría,SINALOA,12/12/2013,0,0,0
2013-02731,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02730,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02729,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02728,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02727,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02726,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02725,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02724,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02723,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02722,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02721,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02720,SNOWSTORM,CHIHUAHUA,23/12/2013,0,0,0
2013-02719,RAIN,CHIHUAHUA,23/12/2013,0,0,0
2013-02718,RAIN,CHIHUAHUA,23/12/2013,0,0,0
2013-02717,RAIN,CHIHUAHUA,23/12/2013,0,0,0
2013-02716,RAIN,CHIHUAHUA,23/12/2013,0,0,0
2013-02715,LANDSLIDE,GUERRERO,17/09/2013,0,0,0
2013-02714,LANDSLIDE,GUERRERO,17/09/2013,0,0,0
2013-02713,LANDSLIDE,MICHOACAN,17/09/2013,0,0,0
2013-02712,LANDSLIDE,MICHOACAN,18/09/2013,0,0,0
2013-02711,LANDSLIDE,ESTADO DE MEXICO,21/09/2013,0,0,0
2013-02710,LANDSLIDE,ESTADO DE MEXICO,21/09/2013,0,0,0
2013-02709,LANDSLIDE,MORELOS,17/09/2013,0,0,0
2013-02708,LANDSLIDE,QUERETARO,15/09/2013,0,0,0
2013-02707,LANDSLIDE,OAXACA,18/09/2013,0,0,0
2013-02706,LANDSLIDE,OAXACA,15/09/2013,0,0,0
2013-02705,LANDSLIDE,OAXACA,14/09/2013,0,0,0
2013-02704,LANDSLIDE,OAXACA,14/09/2013,0,0,0
2013-02703,LANDSLIDE,OAXACA,14/09/2013,0,0,0
2013-02702,LANDSLIDE,OAXACA,14/09/2013,0,0,0
2013-02701,LANDSLIDE,SINALOA,07/11/2013,0,0,0
2013-02700,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02699,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02698,LANDSLIDE,SINALOA,07/11/2013,0,0,0
2013-02697,LANDSLIDE,SINALOA,07/11/2013,0,0,0
2013-02696,LANDSLIDE,SINALOA,07/11/2013,0,0,0
2013-02695,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02694,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02693,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02692,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02691,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02690,LANDSLIDE,DURANGO,07/11/2013,0,0,0
2013-02689,RAIN,SINALOA,07/11/2013,0,0,0
2013-02688,RAIN,SINALOA,07/11/2013,0,0,0
2013-02687,RAIN,SINALOA,07/11/2013,0,0,0
2013-02686,RAIN,SINALOA,07/11/2013,0,0,0
2013-02685,RAIN,SINALOA,07/11/2013,0,0,0
2013-02684,RAIN,SINALOA,07/11/2013,0,0,0
2013-02683,Onda fría,VERACRUZ,29/11/2013,0,0,0
2013-02682,Onda fría,VERACRUZ,29/11/2013,0,0,0
2013-02681,Onda fría,VERACRUZ,29/11/2013,0,0,0
2013-02680,Onda fría,VERACRUZ,29/11/2013,0,0,0
2013-02679,Onda fría,VERACRUZ,29/11/2013,0,0,0
2013-02678,Onda fría,VERACRUZ,29/11/2013,0,0,0
2013-02677,SURGE,CAMPECHE,27/11/2013,0,0,0
2013-02676,SURGE,TABASCO,27/11/2013,0,0,0
2013-02675,SURGE,VERACRUZ,27/11/2013,0,0,0
2013-02674,SURGE,VERACRUZ,27/11/2013,0,0,0
2013-02673,SURGE,TAMAULIPAS,27/11/2013,0,0,0
2013-02672,SURGE,TAMAULIPAS,27/11/2013,0,0,0
2013-02671,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02670,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02669,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02668,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02667,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02666,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02665,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02664,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02663,Onda fría,TAMAULIPAS,26/11/2013,0,0,0
2013-02662,Onda fría,DISTRITO FEDERAL,25/11/2013,0,0,0
2013-02661,Onda fría,DISTRITO FEDERAL,25/11/2013,0,0,0
2013-02660,Onda fría,DISTRITO FEDERAL,25/11/2013,0,0,0
2013-02659,Onda fría,DISTRITO FEDERAL,25/11/2013,0,0,0
2013-02658,Onda fría,DISTRITO FEDERAL,25/11/2013,0,0,0
2013-02657,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02656,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02655,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02654,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02653,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02652,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02651,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02650,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02649,HAILSTORM,DISTRITO FEDERAL,19/11/2013,0,0,0
2013-02648,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02647,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02646,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02645,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02644,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02643,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02642,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02641,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02640,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02639,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02638,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02637,LANDSLIDE,VERACRUZ,02/10/2013,0,0,0
2013-02636,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02635,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02634,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02633,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02632,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02631,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02630,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02629,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02628,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02627,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02626,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02625,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02624,RAIN,VERACRUZ,28/10/2013,0,0,0
2013-02623,RAIN,MICHOACAN,24/10/2013,0,0,0
2013-02622,RAIN,MICHOACAN,24/10/2013,0,0,0
2013-02621,RAIN,MICHOACAN,24/10/2013,0,0,0
2013-02620,RAIN,MICHOACAN,24/10/2013,0,0,0
2013-02619,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02618,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02617,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02616,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02615,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02614,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02613,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02612,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02611,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02610,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02609,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02608,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02607,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02606,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02605,RAIN,GUERRERO,23/10/2013,0,0,0
2013-02604,STORM,DISTRITO FEDERAL,06/10/2013,0,0,0
2013-02603,STORM,DISTRITO FEDERAL,06/10/2013,0,0,0
2013-02602,STORM,DISTRITO FEDERAL,06/10/2013,0,0,0
2013-02601,STORM,DISTRITO FEDERAL,06/10/2013,0,0,0
2013-02600,STORM,DISTRITO FEDERAL,06/10/2013,0,0,0
2013-02599,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02598,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02597,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02596,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02595,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02594,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02593,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02592,FLOOD,TAMAULIPAS,24/09/2013,0,0,0
2013-02591,FLOOD,GUANAJUATO,22/09/2013,0,0,0
2013-02590,FLOOD,GUANAJUATO,22/09/2013,0,0,0
2013-02589,FLOOD,GUANAJUATO,22/09/2013,0,0,0
2013-02588,FLOOD,GUANAJUATO,22/09/2013,0,0,0
2013-02587,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02586,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02585,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02584,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02583,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02582,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02581,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02580,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02579,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02578,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02577,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02576,RAIN,VERACRUZ,23/09/2013,0,0,0
2013-02575,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02574,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02573,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02572,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02571,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02570,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02569,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02568,RAIN,VERACRUZ,12/09/2013,0,0,0
2013-02567,FLOOD,JALISCO,10/09/2013,0,0,0
2013-02566,FLOOD,JALISCO,10/09/2013,0,0,0
2013-02565,FLOOD,JALISCO,10/09/2013,0,0,0
2013-02564,FLOOD,DISTRITO FEDERAL,10/09/2013,0,0,0
2013-02563,FLOOD,DISTRITO FEDERAL,10/09/2013,0,0,0
2013-02562,FLOOD,DISTRITO FEDERAL,10/09/2013,0,0,0
2013-02561,RAIN,VERACRUZ,08/09/2013,0,0,0
2013-02560,RAIN,VERACRUZ,08/09/2013,0,0,0
2013-02559,RAIN,VERACRUZ,08/09/2013,0,0,0
2013-02558,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02557,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02556,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02555,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02554,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02553,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02552,RAIN,DISTRITO FEDERAL,06/09/2013,0,0,0
2013-02551,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02550,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02549,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02548,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02547,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02546,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02545,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02544,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02543,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02542,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02541,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02540,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02539,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02538,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02537,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02536,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02535,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02534,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02533,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02532,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02531,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02530,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02529,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02528,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02527,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02526,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02525,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02524,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02523,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02522,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02521,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02520,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02519,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02518,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02517,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02516,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02515,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02514,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02513,FROST,GUANAJUATO,05/03/2013,0,0,0
2013-02512,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02511,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02510,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02509,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02508,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02507,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02506,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02505,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02504,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02503,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02502,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02501,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02500,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02499,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02498,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02497,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02496,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02495,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02494,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02493,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02492,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02491,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02490,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02489,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02488,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02487,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02486,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02485,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02484,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02483,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02482,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02481,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02480,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02479,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02478,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02477,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02476,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02475,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02474,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02473,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02472,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02471,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02470,FROST,MICHOACAN,06/03/2013,0,0,0
2013-02469,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02468,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02467,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02466,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02465,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02464,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02463,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02462,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02461,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02460,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02459,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02458,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02457,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02456,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02455,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02454,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02453,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02452,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02451,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02450,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02449,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02448,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02447,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02446,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02445,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02444,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02443,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02442,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02441,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02440,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02439,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02438,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02437,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02436,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02435,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02434,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02433,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02432,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02431,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02430,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02429,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02428,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02427,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02426,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02425,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02424,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02423,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02422,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02421,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02420,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02419,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02418,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02417,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02416,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02415,RAIN,VERACRUZ,14/11/2013,0,0,0
2013-02414,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02413,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02412,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02411,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02410,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02409,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02408,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02407,FLOOD,TABASCO,16/11/2013,0,0,0
2013-02406,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02405,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02404,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02403,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02402,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02401,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02400,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02399,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02398,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02397,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02396,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02395,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02394,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02393,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02392,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02391,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02390,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02389,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02388,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02387,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02386,LANDSLIDE,OAXACA,23/09/2013,0,0,0
2013-02385,RAIN,OAXACA,14/09/2013,0,0,0
2013-02384,RAIN,OAXACA,14/09/2013,0,0,0
2013-02383,RAIN,OAXACA,14/09/2013,0,0,0
2013-02382,RAIN,OAXACA,14/09/2013,0,0,0
2013-02381,RAIN,OAXACA,14/09/2013,0,0,0
2013-02380,RAIN,OAXACA,14/09/2013,0,0,0
2013-02379,RAIN,OAXACA,14/09/2013,0,0,0
2013-02378,RAIN,OAXACA,14/09/2013,0,0,0
2013-02377,RAIN,OAXACA,14/09/2013,0,0,0
2013-02376,RAIN,OAXACA,14/09/2013,0,0,0
2013-02375,RAIN,OAXACA,14/09/2013,0,0,0
2013-02374,RAIN,OAXACA,14/09/2013,0,0,0
2013-02373,RAIN,OAXACA,14/09/2013,0,0,0
2013-02372,RAIN,OAXACA,14/09/2013,0,0,0
2013-02371,RAIN,OAXACA,14/09/2013,0,0,0
2013-02370,RAIN,OAXACA,14/09/2013,0,0,0
2013-02369,RAIN,OAXACA,14/09/2013,0,0,0
2013-02368,RAIN,OAXACA,14/09/2013,0,0,0
2013-02367,RAIN,OAXACA,14/09/2013,0,0,0
2013-02366,RAIN,OAXACA,14/09/2013,0,0,0
2013-02365,RAIN,OAXACA,14/09/2013,0,0,0
2013-02364,RAIN,OAXACA,14/09/2013,0,0,0
2013-02363,RAIN,OAXACA,14/09/2013,0,0,0
