"Event Year","Event ID","Country","Peril","Loss (USD)","Loss Type"
46,95,"Bangladesh","Cyclone",407.622277204611,"Occurrence"
46,96,"Bangladesh","Cyclone",767061.832936533,"Occurrence"
47,97,"Bangladesh","Cyclone",20457.1765469204,"Occurrence"
47,98,"Bangladesh","Cyclone",16932.9908093513,"Occurrence"
48,99,"Bangladesh","Cyclone",32118187.6682887,"Occurrence"
49,100,"Bangladesh","Cyclone",7491.48239837829,"Occurrence"
50,101,"Bangladesh","Cyclone",1474.3961666067,"Occurrence"
50,102,"Bangladesh","Cyclone",6770.87880920756,"Occurrence"
51,103,"Bangladesh","Cyclone",2815560.30684818,"Occurrence"
52,104,"Bangladesh","Cyclone",30185.7276093247,"Occurrence"
52,105,"Bangladesh","Cyclone",162693.517580414,"Occurrence"
53,106,"Bangladesh","Cyclone",234743.378850291,"Occurrence"
53,107,"Bangladesh","Cyclone",15608.7423997293,"Occurrence"
53,108,"Bangladesh","Cyclone",237426.249140045,"Occurrence"
54,109,"Bangladesh","Cyclone",272317.108453146,"Occurrence"
54,110,"Bangladesh","Cyclone",600.041475885562,"Occurrence"
56,111,"Bangladesh","Cyclone",4001250.56591296,"Occurrence"
56,112,"Bangladesh","Cyclone",1267738.09863102,"Occurrence"
56,113,"Bangladesh","Cyclone",77584522.8313585,"Occurrence"
56,114,"Bangladesh","Cyclone",71997.3337897178,"Occurrence"
56,115,"Bangladesh","Cyclone",1366266.89578642,"Occurrence"
57,116,"Bangladesh","Cyclone",8496.23031406573,"Occurrence"
58,117,"Bangladesh","Cyclone",225516097.214047,"Occurrence"
58,118,"Bangladesh","Cyclone",34056066.8389977,"Occurrence"
59,119,"Bangladesh","Cyclone",71953671.9008757,"Occurrence"
59,120,"Bangladesh","Cyclone",6606.85071980573,"Occurrence"
59,121,"Bangladesh","Cyclone",4040248.9024312,"Occurrence"
60,122,"Bangladesh","Cyclone",140257518.686526,"Occurrence"
60,123,"Bangladesh","Cyclone",118317.506498536,"Occurrence"
60,124,"Bangladesh","Cyclone",5474267.1903338,"Occurrence"
62,125,"Bangladesh","Cyclone",126349.153052888,"Occurrence"
62,126,"Bangladesh","Cyclone",2192039.66530492,"Occurrence"
63,127,"Bangladesh","Cyclone",4660.36464664448,"Occurrence"
64,128,"Bangladesh","Cyclone",3770832.65694517,"Occurrence"
64,129,"Bangladesh","Cyclone",27175071.6371414,"Occurrence"
64,130,"Bangladesh","Cyclone",40956962.5080247,"Occurrence"
64,131,"Bangladesh","Cyclone",3340523.54021203,"Occurrence"
65,132,"Bangladesh","Cyclone",1220010.05615024,"Occurrence"
66,133,"Bangladesh","Cyclone",547.023736852084,"Occurrence"
67,134,"Bangladesh","Cyclone",19547.4594403331,"Occurrence"
67,135,"Bangladesh","Cyclone",29117.7737233017,"Occurrence"
68,136,"Bangladesh","Cyclone",7554998.75543404,"Occurrence"
69,137,"Bangladesh","Cyclone",165427533.242092,"Occurrence"
69,138,"Bangladesh","Cyclone",5220248.59151016,"Occurrence"
69,139,"Bangladesh","Cyclone",95652.3009957966,"Occurrence"
69,140,"Bangladesh","Cyclone",2344150.74353252,"Occurrence"
70,141,"Bangladesh","Cyclone",2510.73491593291,"Occurrence"
70,142,"Bangladesh","Cyclone",12690486.5470886,"Occurrence"
71,143,"Bangladesh","Cyclone",472605.292676364,"Occurrence"
71,144,"Bangladesh","Cyclone",40464686.2035387,"Occurrence"
71,145,"Bangladesh","Cyclone",479883.100074707,"Occurrence"
71,146,"Bangladesh","Cyclone",57071702.4867289,"Occurrence"
71,147,"Bangladesh","Cyclone",13760499.2214837,"Occurrence"
71,148,"Bangladesh","Cyclone",8782.79203714491,"Occurrence"
72,149,"Bangladesh","Cyclone",626.49392391045,"Occurrence"
74,150,"Bangladesh","Cyclone",393742.654737808,"Occurrence"
74,151,"Bangladesh","Cyclone",1424.13642057486,"Occurrence"
74,152,"Bangladesh","Cyclone",829004.739396477,"Occurrence"
74,153,"Bangladesh","Cyclone",1572054.34478698,"Occurrence"
75,154,"Bangladesh","Cyclone",819.475805315906,"Occurrence"
75,155,"Bangladesh","Cyclone",2542268.98399619,"Occurrence"
76,156,"Bangladesh","Cyclone",724231.301654836,"Occurrence"
76,157,"Bangladesh","Cyclone",169286.093117178,"Occurrence"
76,158,"Bangladesh","Cyclone",484946.811845611,"Occurrence"
76,159,"Bangladesh","Cyclone",6959432.53979025,"Occurrence"
76,160,"Bangladesh","Cyclone",167292.68712006,"Occurrence"
77,161,"Bangladesh","Cyclone",164994.589320641,"Occurrence"
77,162,"Bangladesh","Cyclone",5042630.3742147,"Occurrence"
77,163,"Bangladesh","Cyclone",1364933.7325645,"Occurrence"
78,164,"Bangladesh","Cyclone",211138.904780689,"Occurrence"
78,165,"Bangladesh","Cyclone",500797.019331124,"Occurrence"
78,166,"Bangladesh","Cyclone",110336826.662462,"Occurrence"
78,167,"Bangladesh","Cyclone",242475.866901894,"Occurrence"
79,168,"Bangladesh","Cyclone",17570.5039323089,"Occurrence"
79,169,"Bangladesh","Cyclone",12766.4285735744,"Occurrence"
79,170,"Bangladesh","Cyclone",1287985.61758271,"Occurrence"
79,171,"Bangladesh","Cyclone",3738671.23611498,"Occurrence"
80,172,"Bangladesh","Cyclone",1771131.59747802,"Occurrence"
80,173,"Bangladesh","Cyclone",2321389976.04828,"Occurrence"
80,174,"Bangladesh","Cyclone",204465693753.166,"Occurrence"
81,175,"Bangladesh","Cyclone",12782.2867850658,"Occurrence"
81,176,"Bangladesh","Cyclone",104237.35749602,"Occurrence"
81,177,"Bangladesh","Cyclone",14454392.555475,"Occurrence"
81,178,"Bangladesh","Cyclone",11166.0511669348,"Occurrence"
82,179,"Bangladesh","Cyclone",6838591.69142064,"Occurrence"
82,180,"Bangladesh","Cyclone",13421657.4586911,"Occurrence"
83,181,"Bangladesh","Cyclone",1027508345.24283,"Occurrence"
83,182,"Bangladesh","Cyclone",1399580.00713216,"Occurrence"
83,183,"Bangladesh","Cyclone",767960.718163801,"Occurrence"
83,184,"Bangladesh","Cyclone",7918137.66295705,"Occurrence"
84,185,"Bangladesh","Cyclone",3829.39270350809,"Occurrence"
86,186,"Bangladesh","Cyclone",1130249.01891095,"Occurrence"
86,187,"Bangladesh","Cyclone",105802726.266836,"Occurrence"
87,188,"Bangladesh","Cyclone",120952.524257074,"Occurrence"
88,189,"Bangladesh","Cyclone",6237257.3636962,"Occurrence"
88,190,"Bangladesh","Cyclone",2821723.21911506,"Occurrence"
89,191,"Bangladesh","Cyclone",36766582.5495943,"Occurrence"
90,192,"Bangladesh","Cyclone",120578891.932441,"Occurrence"
90,193,"Bangladesh","Cyclone",163403.718644029,"Occurrence"
90,194,"Bangladesh","Cyclone",1468834.22391384,"Occurrence"
92,195,"Bangladesh","Cyclone",2299390.28027067,"Occurrence"
93,196,"Bangladesh","Cyclone",3477100.72793071,"Occurrence"
94,197,"Bangladesh","Cyclone",198011.727058221,"Occurrence"
94,198,"Bangladesh","Cyclone",91271159.3276119,"Occurrence"
94,199,"Bangladesh","Cyclone",37241203.9263402,"Occurrence"
94,200,"Bangladesh","Cyclone",555008.605334841,"Occurrence"
95,201,"Bangladesh","Cyclone",15927.0014886066,"Occurrence"
95,202,"Bangladesh","Cyclone",148306.593993199,"Occurrence"
95,203,"Bangladesh","Cyclone",25884493.288705,"Occurrence"
96,204,"Bangladesh","Cyclone",5258.16367860517,"Occurrence"
96,205,"Bangladesh","Cyclone",17277173.785677,"Occurrence"
96,206,"Bangladesh","Cyclone",10633.3994158546,"Occurrence"
98,207,"Bangladesh","Cyclone",44198972.7946615,"Occurrence"
98,208,"Bangladesh","Cyclone",93716675.0957163,"Occurrence"
98,209,"Bangladesh","Cyclone",22562152.4844166,"Occurrence"
99,210,"Bangladesh","Cyclone",11239775.5564393,"Occurrence"
100,211,"Bangladesh","Cyclone",594.052459904015,"Occurrence"
100,212,"Bangladesh","Cyclone",118085.47125315,"Occurrence"
101,213,"Bangladesh","Cyclone",11531135.4926094,"Occurrence"
101,214,"Bangladesh","Cyclone",177686.694365097,"Occurrence"
101,215,"Bangladesh","Cyclone",184710.943966679,"Occurrence"
101,216,"Bangladesh","Cyclone",1461.49076760949,"Occurrence"
102,217,"Bangladesh","Cyclone",5694847.42160143,"Occurrence"
102,218,"Bangladesh","Cyclone",2037291.00757972,"Occurrence"
104,219,"Bangladesh","Cyclone",91243160.636284,"Occurrence"
104,220,"Bangladesh","Cyclone",112555.19180148,"Occurrence"
104,221,"Bangladesh","Cyclone",36059.1584610998,"Occurrence"
104,222,"Bangladesh","Cyclone",3117982.70875726,"Occurrence"
105,223,"Bangladesh","Cyclone",12260982.1726983,"Occurrence"
105,224,"Bangladesh","Cyclone",39566.059279704,"Occurrence"
106,225,"Bangladesh","Cyclone",1904.84487606142,"Occurrence"
107,226,"Bangladesh","Cyclone",68399.1106253058,"Occurrence"
107,227,"Bangladesh","Cyclone",7126291.36573093,"Occurrence"
107,228,"Bangladesh","Cyclone",305.70328869037,"Occurrence"
108,229,"Bangladesh","Cyclone",6229896.53862968,"Occurrence"
108,230,"Bangladesh","Cyclone",65813.9966548486,"Occurrence"
108,231,"Bangladesh","Cyclone",403177228.860044,"Occurrence"
109,232,"Bangladesh","Cyclone",11885.9759877941,"Occurrence"
109,233,"Bangladesh","Cyclone",143609.223587806,"Occurrence"
