Serial,Event,&quot;Province&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2189,FIRE,Luang Prabang,29/08/2012,0,7,0
2188,FIRE,Luang Prabang,09/01/2008,0,11,0
2187,FIRE,Luang Prabang,15/07/2008,0,15,0
2186,STORM,Luang Prabang,2012/5/0,0,37,0
2185,FIRE,Luang Prabang,24/01/2012,0,12,0
2184,FIRE,Luang Prabang,28/04/2008,0,6,0
2183,STORM,Luang Prabang,03/12/2007,0,16,0
2182,STORM,Luang Prabang,14/08/2008,0,38,0
2181,STORM,Luang Prabang,15/03/2008,0,167,0
2180,FLOOD,Luang Prabang,06/08/2012,0,0,0
2179,FLOOD,Luang Prabang,06/08/2008,0,24,0
2178,FLOOD,Luang Prabang,06/08/2008,0,167,0
2177,FLOOD,Luang Prabang,05/08/2008,0,176,0
2176,FLOOD,Luang Prabang,06/08/2008,0,176,0
2174,FLOOD,Borikhamxay,16/08/2008,0,5681,0
2174,FLOOD,Borikhamxay,16/08/2008,0,5681,0
2172,FIRE,Oudomxay,29/08/2012,0,57,0
2171,FLOOD,Oudomxay,03/04/2008,0,53,0
2170,FIRE,Oudomxay,17/03/2008,0,1,0
2168,FLOOD,Oudomxay,16/03/2008,0,11,0
2167,FLOOD,Oudomxay,19/04/2008,0,133,0
2166,FIRE,Oudomxay,16/10/2006,0,5,0
2165,FIRE,Oudomxay,02/12/2008,0,6,0
2164,FIRE,Oudomxay,05/02/2006,0,5,0
2163,FIRE,Oudomxay,15/11/2006,0,6,0
2162,FIRE,Oudomxay,28/08/2006,0,7,0
2160,FIRE,Oudomxay,02/07/2006,0,20,0
2159,FIRE,Oudomxay,21/11/2006,0,163,0
2157,FIRE,Oudomxay,08/11/2006,0,9,0
2158,FIRE,Oudomxay,16/11/2006,0,7,0
2157,FIRE,Oudomxay,08/11/2006,0,9,0
2156,FIRE,Oudomxay,04/08/2006,0,12,0
2155,FIRE,Oudomxay,05/08/2006,0,5,0
2154,FIRE,Oudomxay,20/08/2006,0,10,0
2153,FIRE,Oudomxay,28/08/2006,0,10,0
2152,FLOOD,Oudomxay,29/09/2006,0,8,0
2151,FIRE,Oudomxay,17/08/2006,0,8,0
2150,FIRE,Oudomxay,27/08/2006,0,7,0
2149,FIRE,Oudomxay,03/06/2006,0,9,0
2148,FIRE,Oudomxay,16/05/2006,0,5,0
2147,FIRE,Vientiane,13/10/2006,0,12,0
2146,FLOOD,Vientiane,19/10/2006,0,3,0
2145,FIRE,Vientiane,06/06/2006,0,0,0
2144,FIRE,Vientiane,16/11/2006,0,6,0
2143,FIRE,Xaysomboun SR,12/10/2006,0,4,0
2142,FLOOD,Phongsaly,18/11/2006,0,32,0
2141,FIRE,Borikhamxay,25/11/2006,0,20,0
2140,STORM,Attapeu,08/09/2012,0,14,0
2139,FIRE,Attapeu,25/07/2008,0,6,0
2138,FLOOD,Attapeu,16/06/2008,0,0,0
2137,STORM,Attapeu,16/06/2008,0,0,0
2136,FIRE,Attapeu,23/04/2008,0,4,0
2135,FIRE,Attapeu,26/02/2008,0,5,0
2134,FIRE,Attapeu,15/04/2008,0,9,0
2133,FIRE,Attapeu,25/03/2008,0,7,0
2132,FIRE,Attapeu,03/05/2008,0,5,0
2131,FLOOD,Attapeu,08/05/2007,0,3,0
2130,FIRE,Attapeu,25/03/2008,0,4,0
2129,FIRE,Attapeu,19/04/2008,0,4,0
2128,FLOOD,Attapeu,22/03/2008,0,8,0
2127,STORM,Attapeu,27/04/2008,0,5,0
2126,STORM,Attapeu,13/01/2008,0,6,0
2125,FIRE,Attapeu,30/03/2008,0,5,0
2124,FLOOD,Attapeu,20/02/2008,0,3,0
2123,FIRE,Attapeu,10/03/2008,0,6,0
2122,FIRE,Attapeu,22/02/2008,0,6,0
2121,FIRE,Attapeu,26/04/2007,0,7,0
2120,FIRE,Attapeu,07/01/2008,0,3,0
2116,STORM,Champassack,21/03/2008,0,4,0
2114,STORM,Champassack,06/04/2008,0,28,0
2115,FIRE,Champassack,12/03/2008,0,6,0
2114,FLOOD,Champassack,06/04/2008,0,28,0
2113,FIRE,Champassack,11/02/2008,0,6,0
2112,FIRE,Champassack,06/10/2007,0,4,0
2108,FIRE,Champassack,03/01/2008,0,9,0
2110,FLOOD,Champassack,06/03/2008,0,6,0
2109,FLOOD,Champassack,22/01/2008,0,6,52300000
2108,FLOOD,Champassack,03/01/2008,0,9,0
2107,FIRE,Champassack,09/12/2008,0,7,0
2106,FLOOD,Champassack,03/03/2008,0,7,0
2105,FLOOD,Champassack,03/03/2008,0,7,0
2104,FIRE,Champassack,21/02/2008,0,3,0
2102,FIRE,Champassack,28/12/2007,0,17,0
2103,FIRE,Champassack,01/03/2008,0,6,0
2102,FLOOD,Champassack,28/12/2007,0,17,0
2098,FLOOD,Borikhamxay,20/11/2008,0,10,0
2097,FIRE,Borikhamxay,22/11/2008,0,4,0
2096,FIRE,Borikhamxay,15/01/2009,0,3,0
2096,FIRE,Borikhamxay,15/01/2009,0,3,0
2095,FIRE,Borikhamxay,24/09/2008,0,8,0
2093,FIRE,Borikhamxay,19/04/2008,0,11,0
2093,FIRE,Borikhamxay,19/04/2008,0,11,0
2092,FIRE,Borikhamxay,29/11/2008,0,5,0
2090,FIRE,Borikhamxay,14/01/2009,0,9,0
2089,FIRE,Borikhamxay,25/08/2012,0,19,0
2088,FIRE,Borikhamxay,30/01/2009,0,22,0
2086,FIRE,Vientiane,16/06/2007,0,9,0
2085,FIRE,Vientiane,05/10/2008,0,10,0
2083,FIRE,Vientiane,20/02/2008,0,7,0
2082,FIRE,Vientiane,18/02/2008,0,7,0
2081,FIRE,Vientiane,15/02/2009,0,7,0
2080,FIRE,Vientiane,21/01/2009,0,6,0
2079,FIRE,Vientiane,11/10/2008,0,7,0
2078,FIRE,Vientiane,13/04/2008,0,6,0
2077,FIRE,Vientiane,06/01/2009,0,4,0
2076,FIRE,Vientiane,07/12/2008,0,6,0
2076,FIRE,Vientiane,07/12/2008,0,6,0
2075,FIRE,Vientiane,17/01/2009,0,8,0
2074,FIRE,Vientiane,12/11/2000,0,5,0
2073,FIRE,Attapeu,28/04/2008,0,4,0
2071,FIRE,Attapeu,25/04/2008,0,10,0
2070,FIRE,Attapeu,25/04/2008,0,6,0
2069,FIRE,Attapeu,27/04/2008,0,4,0
2068,FIRE,Attapeu,08/03/2008,0,7,0
2067,FIRE,Attapeu,27/05/2008,0,8,0
2066,FIRE,Attapeu,15/01/2008,0,11,0
2065,FIRE,Attapeu,17/05/2008,0,4,0
2064,FIRE,Attapeu,08/09/2008,0,7,0
2063,FIRE,Attapeu,10/03/2008,0,6,0
2062,FLOOD,Attapeu,25/07/2008,0,5,0
2061,FLOOD,Attapeu,12/07/2008,0,4,0
2060,FIRE,Attapeu,25/08/2008,0,6,0
2059,FIRE,Attapeu,20/01/2008,0,0,0
2057,FIRE,Attapeu,11/04/2008,0,5,0
2058,FIRE,Attapeu,11/04/2008,0,5,0
2057,FLOOD,Attapeu,11/04/2008,0,5,0
2056,FLOOD,Attapeu,26/03/2008,0,5,0
2055,FIRE,Attapeu,18/05/2008,0,15,0
2054,FLOOD,Attapeu,08/04/2008,0,3,0
2053,FIRE,Attapeu,06/09/2008,0,5,0
2052,FLOOD,Attapeu,15/03/2008,0,5,0
2051,FIRE,Attapeu,29/02/2008,0,9,0
2050,FIRE,Attapeu,06/03/2008,0,13,0
2049,FIRE,Attapeu,18/04/2008,0,5,0
2048,FLOOD,Attapeu,03/06/2008,0,6,0
2047,FIRE,Attapeu,15/04/2008,0,4,0
2046,FIRE,Attapeu,10/03/2008,0,5,0
2045,FIRE,Attapeu,27/02/2008,0,7,0
2044,FLOOD,Attapeu,08/03/2008,0,4,0
2043,FIRE,Attapeu,28/01/2008,0,0,0
2042,FIRE,Attapeu,25/01/2008,0,5,0
2041,FIRE,Attapeu,10/03/2008,0,14,0
2040,FIRE,Attapeu,22/06/2008,0,6,0
2039,FIRE,Attapeu,07/09/2008,0,11,0
2038,FLOOD,Attapeu,27/09/2012,0,24,0
2036,STORM,Attapeu,27/10/2008,0,49,0
2035,FIRE,Attapeu,2008/10/0,0,9,0
2034,FIRE,Attapeu,17/08/2008,0,7,0
2033,FIRE,Attapeu,05/02/2009,0,9,0
2031,FIRE,Attapeu,05/11/2008,0,2,0
2030,FIRE,Attapeu,04/01/2000,0,4,0
2029,FIRE,Attapeu,05/12/2008,0,4,0
2028,FIRE,Attapeu,16/11/2008,0,7,0
2027,FIRE,Attapeu,29/12/2008,0,15,0
2026,FIRE,Attapeu,20/11/2008,0,0,0
2025,STORM,Attapeu,18/12/2008,0,2,0
2024,FLOOD,Attapeu,05/11/2008,0,6,0
2022,FIRE,Oudomxay,22/02/2007,0,4,0
2021,FIRE,Oudomxay,04/02/2007,0,6,0
2020,FLOOD,Oudomxay,12/11/2006,0,6,0
2019,FIRE,Oudomxay,01/02/2007,0,7,0
2018,FIRE,Oudomxay,02/11/2006,0,14,0
2017,FLOOD,Oudomxay,17/10/2007,0,21,0
2016,FIRE,Oudomxay,11/02/2007,0,24,0
2015,FIRE,Oudomxay,17/10/2006,0,21,0
2015,FIRE,Oudomxay,17/10/2006,0,4,0
2014,FIRE,Oudomxay,05/02/2007,0,6,0
2013,FIRE,Oudomxay,03/03/2007,0,7,0
2012,FIRE,Oudomxay,08/03/2007,0,130,0
2011,FLOOD,Oudomxay,2007/0/0,0,13,0
2010,FIRE,Oudomxay,05/12/2006,0,3,0
2008,FIRE,Oudomxay,14/12/2006,0,5,0
2008,FIRE,Oudomxay,14/12/2006,0,5,0
2007,FLOOD,Oudomxay,02/11/2006,0,14,0
2006,FLOOD,Oudomxay,07/10/2006,0,5,0
2005,FIRE,Oudomxay,11/11/2007,0,81,0
2004,FLOOD,Luangnamtha,10/04/2007,0,0,0
