Serial,Event,&quot;Region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
1220,EPIDEMIC,DJIBOUTI,2010/2/0,0,0,0
1219,EPIDEMIC,DJIBOUTI,2010/1/0,0,0,0
1218,EPIDEMIC,DJIBOUTI,2010/1/0,0,0,0
1217,EPIDEMIC,DJIBOUTI,2010/1/0,0,0,0
1216,EPIDEMIC,DJIBOUTI,2010/4/0,0,0,0
1215,EPIDEMIC,DJIBOUTI,2010/3/0,0,0,0
1214,EPIDEMIC,DJIBOUTI,2010/2/0,0,0,0
1213,EPIDEMIC,DJIBOUTI,2010/1/0,0,0,0
1212,EPIDEMIC,DJIBOUTI,2010/1/0,0,0,0
1211,EPIDEMIC,DJIBOUTI,2009/12/0,0,0,0
1210,EPIDEMIC,DJIBOUTI,2009/12/0,0,0,0
1209,EPIDEMIC,DJIBOUTI,2009/11/0,0,0,0
1208,EPIDEMIC,DJIBOUTI,2009/11/0,0,0,0
1207,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1206,EPIDEMIC,DJIBOUTI,2009/10/0,0,0,0
1205,EPIDEMIC,DJIBOUTI,2009/9/0,0,0,0
1204,EPIDEMIC,DJIBOUTI,2009/7/0,0,0,0
1203,EPIDEMIC,DJIBOUTI,2009/6/0,0,0,0
1202,EPIDEMIC,DJIBOUTI,2009/3/0,0,0,0
1201,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1200,EPIDEMIC,DJIBOUTI,2009/4/0,0,0,0
1199,EPIDEMIC,DJIBOUTI,2006/10/0,0,0,0
1198,EPIDEMIC,DJIBOUTI,2006/10/0,0,0,0
1197,EPIDEMIC,DJIBOUTI,2006/8/0,0,0,0
1196,FLOOD,DJIBOUTI,1994/11/0,0,0,0
1195,ACCIDENT,DJIBOUTI,1981/11/0,0,0,0
1194,ACCIDENT,DJIBOUTI,1986/10/0,0,0,0
1193,ACCIDENT,DJIBOUTI,1984/9/0,0,0,0
1192,ACCIDENT,DJIBOUTI,1983/8/0,0,0,0
1191,ACCIDENT,DJIBOUTI,1981/8/0,0,0,0
1190,Naufrage,DJIBOUTI,2006/4/0,0,0,0
1189,FLOOD,DJIBOUTI,2004/4/0,0,0,0
1188,FLOOD,DJIBOUTI,1981/3/0,0,0,0
1187,ACCIDENT,DJIBOUTI,2011/2/0,0,0,0
1186,FIRE,DJIBOUTI,1986/2/0,0,0,0
1185,Naufrage,DJIBOUTI,1984/1/0,0,0,0
1184,EPIDEMIC,TADJOURAH,2011/1/0,0,0,0
1183,EPIDEMIC,TADJOURAH,2010/1/0,0,0,0
1182,EPIDEMIC,TADJOURAH,2010/7/0,0,0,0
1181,EPIDEMIC,TADJOURAH,2011/1/0,0,0,0
1180,EPIDEMIC,TADJOURAH,2010/11/0,0,0,0
1179,EPIDEMIC,TADJOURAH,2009/2/0,0,0,0
1178,EPIDEMIC,TADJOURAH,2011/10/0,0,0,0
1177,EPIDEMIC,TADJOURAH,2010/4/0,0,0,0
1176,EPIDEMIC,TADJOURAH,2009/3/0,0,0,0
1175,EPIDEMIC,TADJOURAH,2009/2/0,0,0,0
1174,EPIDEMIC,TADJOURAH,2011/9/0,0,0,0
1173,EPIDEMIC,TADJOURAH,2009/9/0,0,0,0
1172,EPIDEMIC,TADJOURAH,2009/10/0,0,0,0
1171,EPIDEMIC,TADJOURAH,2009/1/0,0,0,0
1170,EPIDEMIC,TADJOURAH,2008/3/0,0,0,0
1169,EPIDEMIC,TADJOURAH,2010/4/0,0,0,0
1168,EPIDEMIC,TADJOURAH,2009/8/0,0,0,0
1167,EPIDEMIC,TADJOURAH,2008/12/0,0,0,0
1166,Naufrage,TADJOURAH,17/07/1998,0,0,0
1165,Naufrage,TADJOURAH,1996/1/0,0,0,0
1164,ACCIDENT,TADJOURAH,2012/6/0,0,0,0
1163,FLOOD,TADJOURAH,2007/9/0,0,0,0
1162,FLOOD,TADJOURAH,2009/7/0,0,10,0
1161,FLOOD,TADJOURAH,1997/1/0,0,0,0
1160,DROUGHT,TADJOURAH,2009/0/0,0,0,0
1159,DROUGHT,TADJOURAH,2008/0/0,0,0,0
1158,DROUGHT,TADJOURAH,2011/0/0,0,0,0
1157,FLOOD,TADJOURAH,2004/8/0,0,0,0
1156,FLOOD,TADJOURAH,2007/0/0,0,0,0
1155,FLOOD,TADJOURAH,1992/0/0,0,0,0
1154,DROUGHT,TADJOURAH,2010/0/0,0,0,0
1153,DROUGHT,TADJOURAH,2011/0/0,0,0,0
1152,DROUGHT,TADJOURAH,2008/0/0,0,0,0
1151,DROUGHT,TADJOURAH,2009/0/0,0,0,0
1150,DROUGHT,TADJOURAH,2009/7/0,0,0,0
1149,DROUGHT,TADJOURAH,2008/0/0,0,0,0
1148,DROUGHT,TADJOURAH,2008/0/0,0,0,0
1147,DROUGHT,TADJOURAH,2010/0/0,0,0,0
1146,DROUGHT,TADJOURAH,2011/0/0,0,0,0
1145,DROUGHT,TADJOURAH,2009/0/0,0,0,0
1144,FIRE,TADJOURAH,2007/4/0,0,0,0
1143,FIRE,TADJOURAH,2006/6/0,0,0,0
1142,foudre,TADJOURAH,2002/6/0,0,0,0
1141,foudre,TADJOURAH,2008/8/0,0,0,0
1139,DROUGHT,TADJOURAH,2009/9/0,0,0,0
1138,DROUGHT,TADJOURAH,2009/9/0,0,0,0
1137,DROUGHT,TADJOURAH,2009/9/0,0,0,0
1135,foudre,TADJOURAH,2009/8/0,0,0,0
