Serial,Event,&quot;Region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
29745,Livestock Disease Outbreak,SNNPR,20/03/2020,0,0,0
29744,Livestock Disease Outbreak,SNNPR,26/03/2020,0,0,0
29743,Livestock Disease Outbreak,SNNPR,11/03/2020,0,0,0
29742,Livestock Disease Outbreak,SNNPR,20/03/2020,0,0,0
29741,Livestock Disease Outbreak,Oromiya,17/03/2020,0,0,0
29740,Livestock Disease Outbreak,Oromiya,06/03/2020,0,0,0
29739,Livestock Disease Outbreak,Amhara,20/03/2020,0,0,0
29738,Livestock Disease Outbreak,Amhara,20/03/2020,0,0,0
29737,Livestock Disease Outbreak,Amhara,12/03/2020,0,0,0
29736,Livestock Disease Outbreak,Amhara,19/03/2020,0,0,0
29735,Livestock Disease Outbreak,Amhara,06/03/2020,0,0,0
29734,Livestock Disease Outbreak,Amhara,20/03/2020,0,0,0
29733,Livestock Disease Outbreak,Amhara,13/03/2020,0,0,0
29732,Livestock Disease Outbreak,Amhara,04/03/2020,0,0,0
29731,Livestock Disease Outbreak,Afar,01/03/2020,0,0,0
29730,Livestock Disease Outbreak,Amhara,03/02/2020,0,0,0
29729,Livestock Disease Outbreak,Tigray,22/02/2020,0,0,0
29728,Livestock Disease Outbreak,Tigray,02/05/2020,0,0,0
29727,Livestock Disease Outbreak,Tigray,02/11/2020,0,0,0
29726,Livestock Disease Outbreak,Tigray,23/01/2020,0,0,0
29725,Livestock Disease Outbreak,Tigray,18/01/2020,0,0,0
29724,Livestock Disease Outbreak,Tigray,02/11/2020,0,0,0
29723,Livestock Disease Outbreak,Tigray,17/02/2020,0,0,0
29722,Livestock Disease Outbreak,Somali,27/02/2020,0,0,0
29721,Livestock Disease Outbreak,Somali,02/11/2020,0,0,0
29720,Livestock Disease Outbreak,Somali,20/02/2020,0,0,0
29719,Livestock Disease Outbreak,Somali,20/02/2020,0,0,0
29718,Livestock Disease Outbreak,Somali,25/02/2020,0,0,0
29717,Livestock Disease Outbreak,Somali,25/02/2020,0,0,0
29716,Livestock Disease Outbreak,Somali,20/02/2020,0,0,0
29715,Livestock Disease Outbreak,Somali,25/02/2020,0,0,0
29714,Livestock Disease Outbreak,Somali,25/02/2020,0,0,0
29713,Livestock Disease Outbreak,Somali,01/02/2020,0,0,0
29712,Livestock Disease Outbreak,Somali,02/05/2020,0,0,0
29711,Livestock Disease Outbreak,Somali,21/02/2020,0,0,0
29710,Livestock Disease Outbreak,Somali,02/01/2020,0,0,0
29709,Livestock Disease Outbreak,SNNPR,23/02/2020,0,0,0
29708,Livestock Disease Outbreak,Oromiya,02/02/2020,0,0,0
29707,Livestock Disease Outbreak,Oromiya,17/01/2020,0,0,0
29706,Livestock Disease Outbreak,Oromiya,02/06/2020,0,0,0
29705,Livestock Disease Outbreak,Oromiya,02/03/2020,0,0,0
29704,Livestock Disease Outbreak,Oromiya,17/01/2020,0,0,0
29703,Livestock Disease Outbreak,Amhara,15/02/2020,0,0,0
29702,Livestock Disease Outbreak,Amhara,20/02/2020,0,0,0
29701,Livestock Disease Outbreak,Amhara,02/01/2020,0,0,0
29700,Livestock Disease Outbreak,Afar,20/02/2020,0,0,0
29699,Livestock Disease Outbreak,Afar,02/01/2020,0,0,0
29698,Livestock Disease Outbreak,Afar,14/02/2020,0,0,0
29697,Livestock Disease Outbreak,Tigray,21/01/2020,0,0,0
29696,Livestock Disease Outbreak,Tigray,30/01/2020,0,0,0
29695,Livestock Disease Outbreak,Tigray,01/12/2020,0,0,0
29694,Livestock Disease Outbreak,Tigray,01/08/2020,0,0,0
29693,Livestock Disease Outbreak,Tigray,18/01/2020,0,0,0
29692,Livestock Disease Outbreak,Tigray,25/01/2020,0,0,0
29691,Livestock Disease Outbreak,Tigray,01/06/2020,0,0,0
29690,Livestock Disease Outbreak,Tigray,18/01/2020,0,0,0
29689,Livestock Disease Outbreak,Somali,01/05/2020,0,0,0
29688,Livestock Disease Outbreak,Somali,20/01/2020,0,0,0
29687,Livestock Disease Outbreak,Somali,20/01/2020,0,0,0
29686,Livestock Disease Outbreak,SNNPR,01/11/2020,0,0,0
29685,Livestock Disease Outbreak,SNNPR,09/01/2020,0,0,0
29684,Livestock Disease Outbreak,Oromiya,19/01/2020,0,0,0
29683,Livestock Disease Outbreak,Oromiya,17/01/2020,0,0,0
29682,Livestock Disease Outbreak,Oromiya,01/03/2020,0,0,0
29681,Livestock Disease Outbreak,Oromiya,01/03/2020,0,0,0
29680,Livestock Disease Outbreak,Benishangul Gumz,22/01/2020,0,0,0
29679,Livestock Disease Outbreak,Amhara,25/01/2020,0,0,0
29678,Livestock Disease Outbreak,Afar,01/07/2020,0,0,0
29676,Livestock Disease Outbreak,Afar,21/01/2020,0,0,0
29675,Livestock Disease Outbreak,Afar,20/01/2020,0,0,0
29674,FLOOD,SNNPR,25/04/2020,0,0,0
29673,Land slide,SNNPR,04/05/2020,0,0,0
29672,Land slide,SNNPR,04/05/2020,0,0,0
29671,Land slide,SNNPR,04/05/2020,0,0,0
29670,Land slide,SNNPR,04/05/2020,0,0,0
29669,FLOOD,SNNPR,04/05/2020,0,0,0
29668,FLOOD,SNNPR,04/05/2020,0,0,0
29667,Land slide,SNNPR,04/05/2020,0,0,0
29666,Land slide,SNNPR,28/05/2020,0,0,0
29665,FLOOD,SNNPR,25/04/2020,0,0,0
29664,Land slide,SNNPR,19/10/2020,0,0,0
29663,Land slide,SNNPR,26/04/2020,0,0,0
29662,Land slide,SNNPR,18/04/2020,0,0,0
29661,Land slide,SNNPR,18/04/2020,0,0,0
29660,Land slide,SNNPR,18/04/2020,0,0,0
29659,Land slide,SNNPR,18/04/2020,0,0,0
29658,Land slide,SNNPR,18/04/2020,0,0,0
29657,Land slide,SNNPR,18/04/2020,0,0,0
29656,Land slide,SNNPR,11/04/2020,0,0,0
29655,FIRE,SNNPR,02/03/2020,0,0,0
29654,FIRE,SNNPR,02/03/2020,0,0,0
29653,FIRE,SNNPR,02/03/2020,0,0,0
29652,FIRE,SNNPR,17/02/2020,0,0,0
29650,FIRE,SNNPR,07/02/2020,0,0,0
29649,CONFLICT,SNNPR,11/01/2020,0,0,0
29648,FLOOD,SNNPR,04/02/2020,0,0,0
29647,FLOOD,SNNPR,04/02/2020,0,0,0
29646,FLOOD,SNNPR,03/02/2020,0,0,0
29645,FLOOD,SNNPR,03/02/2020,0,0,0
29644,FLOOD,SNNPR,03/02/2020,0,0,0
29639,CONFLICT,SNNPR,20/01/2020,0,0,0
29638,HAILSTORM,SNNPR,31/03/2020,0,0,0
29637,Land slide,SNNPR,18/04/2020,0,0,0
29635,FLOOD,SNNPR,18/04/2020,0,0,0
29634,FLOOD,SNNPR,18/04/2020,0,0,0
29632,Land slide,SNNPR,18/04/2020,0,0,0
29631,FLOOD,SNNPR,21/04/2020,0,0,0
29630,Land slide,SNNPR,26/04/2020,0,0,0
29629,Land slide,SNNPR,04/05/2020,0,0,0
29628,FLOOD,SNNPR,08/05/2020,0,0,0
29626,FLOOD,SNNPR,11/07/2020,0,0,0
29625,Land slide,SNNPR,27/04/2020,0,0,0
29624,Land slide,SNNPR,23/07/2020,0,0,0
29623,Land slide,SNNPR,05/08/2020,0,0,0
29622,Land slide,SNNPR,09/08/2020,0,0,0
29621,CONFLICT,SNNPR,15/08/2020,0,0,0
29620,FLOOD,SNNPR,18/08/2020,0,0,0
29619,Land slide,SNNPR,21/08/2020,0,0,0
29618,Land slide,SNNPR,28/08/2020,0,0,0
29617,Land slide,SNNPR,22/09/2020,0,0,0
29616,FLOOD,SNNPR,25/08/2020,0,0,0
29615,FLOOD,SNNPR,25/09/2020,0,0,0
29614,CONFLICT,SNNPR,28/08/2020,0,0,0
29613,CONFLICT,SNNPR,15/08/2020,0,0,0
29612,CONFLICT,SNNPR,20/07/2020,0,0,0
29611,CONFLICT,SNNPR,20/01/2020,0,0,0
29610,Land slide,SNNPR,20/05/2020,0,0,0
29609,Land slide,SNNPR,08/05/2020,0,0,0
29608,Land slide,SNNPR,18/04/2020,0,0,0
29607,FLOOD,SNNPR,11/04/2020,0,0,0
29606,Land slide,SNNPR,20/01/2020,0,0,0
29603,FLOOD,Gambella,23/08/2020,0,0,0
29602,FLOOD,Gambella,23/08/2020,0,0,0
29600,FLOOD,Gambella,23/08/2020,0,0,0
29599,FLOOD,Gambella,23/08/2020,0,0,0
29598,FLOOD,Gambella,23/08/2020,0,0,0
29597,FLOOD,Gambella,23/08/2020,0,0,0
29596,FLOOD,Gambella,23/08/2020,0,0,0
