Serial,Event,&quot;County&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
28726,ROAD ACCIDENT,NAKURU,08/08/2021,0,0,0
28725,ROAD ACCIDENT,KITUI,27/08/2021,0,0,0
28724,ROAD ACCIDENT,NAIROBI,09/08/2021,0,0,0
28722,ROAD ACCIDENT,LAMU,03/11/2021,0,0,0
28721,FIRE,NYERI,03/11/2021,0,0,0
28720,FIRE,NYAMIRA,03/11/2021,0,0,0
28719,FIRE,NAIROBI,03/11/2021,0,0,0
28719,FIRE,NAIROBI,03/11/2021,0,0,0
28718,ROAD ACCIDENT,NAIROBI,28/08/2021,0,0,0
28718,ROAD ACCIDENT,NAIROBI,28/08/2021,0,0,0
28718,ROAD ACCIDENT,NAIROBI,28/08/2021,0,0,0
28717,FIRE,KAKAMEGA,03/11/2021,0,0,0
28714,ROAD ACCIDENT,MACHAKOS,09/08/2021,0,0,0
28713,ROAD ACCIDENT,,13/09/2021,0,0,0
28712,ROAD ACCIDENT,,13/09/2021,0,0,0
28711,ROAD ACCIDENT,HOMABAY,09/08/2021,0,0,0
28710,DROWNING,BARINGO,03/11/2021,0,0,0
28709,ROAD ACCIDENT,NAIROBI,11/08/2021,0,0,0
28708,FIRE,,14/09/2021,0,0,0
28707,ROAD ACCIDENT,NAKURU,12/08/2021,0,0,0
28706,DROWNING,VIHIGA,03/11/2021,0,0,0
28705,ROAD ACCIDENT,NAIROBI,12/08/2021,0,0,0
28704,ELECTROCUTION,VIHIGA,14/09/2021,0,0,0
28703,ROAD ACCIDENT,KILIFI,03/11/2021,0,0,0
28702,ROAD ACCIDENT,HOMABAY,12/08/2021,0,0,0
28694,ROAD ACCIDENT,NAKURU,14/09/2021,0,0,0
28701,DROWNING,KIRINYAGA,03/11/2021,0,0,0
28700,ROAD ACCIDENT,MACHAKOS,14/08/2021,0,0,0
28698,ROAD ACCIDENT,BUSIA,2021/25/8,0,0,0
28699,ROAD ACCIDENT,KIRINYAGA,14/08/2021,0,0,0
28697,ROAD ACCIDENT,KILIFI,14/08/2021,0,0,0
28696,ROAD ACCIDENT,NAIROBI,24/08/2021,0,0,0
28695,ROAD ACCIDENT,HOMABAY,14/08/2021,0,0,0
28687,ROAD ACCIDENT,KITUI,02/11/2021,0,0,0
28686,ANIMAL INCIDENT,ISIOLO,24/08/2021,0,0,0
28685,ROAD ACCIDENT,BOMET,24/08/2021,0,0,0
28684,DROWNING,BOMET,24/08/2021,0,0,0
28683,DROWNING,BOMET,02/11/2021,0,0,0
28682,ROAD ACCIDENT,BOMET,24/08/2021,0,0,0
28681,ROAD ACCIDENT,MAKUENI,02/11/2021,0,0,0
28680,ROAD ACCIDENT,MERU,02/11/2021,0,0,0
28679,ROAD ACCIDENT,LAIKIPIA,24/08/2021,0,0,0
28678,ROAD ACCIDENT,KAKAMEGA,25/08/2021,0,0,0
28677,FIRE,BOMET,13/08/2021,0,0,0
28675,ANIMAL INCIDENT,BOMET,02/11/2021,0,0,0
28674,FIRE,MERU,19/08/2021,0,0,0
28673,DROWNING,BARINGO,02/11/2021,0,0,0
28672,ROAD ACCIDENT,UASIN-GISHU,02/11/2021,0,0,0
28671,ROAD ACCIDENT,MERU,02/11/2021,0,0,0
28670,ROAD ACCIDENT,MERU,02/11/2021,0,0,0
28665,DROWNING,SIAYA,14/08/2021,0,0,0
28660,ROAD ACCIDENT,KILIFI,30/08/2021,0,0,0
28657,EPIDEMIC,NYERI,06/08/2021,0,0,0
28658,DROWNING,BOMET,01/11/2021,0,0,0
28656,ROAD ACCIDENT,KERICHO,01/11/2021,0,0,0
28654,STRUCTURAL COLLAPSE,KIAMBU,30/08/2021,0,0,0
28652,FIRE,KITUI,30/08/2021,0,0,0
28650,ROAD ACCIDENT,KISUMU,30/08/2021,0,0,0
28646,DROWNING,MACHAKOS,19/08/2021,0,0,0
28643,DROWNING,NYAMIRA,08/08/2021,0,0,0
28642,DROWNING,BOMET,05/08/2021,0,0,0
28641,ROAD ACCIDENT,NAIROBI,05/08/2021,0,0,0
28640,ROAD ACCIDENT,NAIROBI,05/08/2021,0,0,0
28639,FIRE,NAIROBI,05/08/2021,0,0,0
28638,DROWNING,NYANDARUA,04/08/2021,0,0,0
28637,CONFLICT,KEIYO-MARAKWET,05/08/2021,0,0,0
28636,ROAD ACCIDENT,NAIROBI,21/08/2021,0,0,0
28635,ROAD ACCIDENT,NAIROBI,22/08/2021,0,0,0
28634,ROAD ACCIDENT,NAIROBI,21/08/2021,0,0,0
28633,ROAD ACCIDENT,KIRINYAGA,21/08/2021,0,0,0
28632,ROAD ACCIDENT,KIAMBU,21/08/2021,0,0,0
28630,ROAD ACCIDENT,KIRINYAGA,27/10/2021,0,0,0
28629,ROAD ACCIDENT,BUNGOMA,29/08/2021,0,0,0
28628,ROAD ACCIDENT,KIAMBU,29/08/2021,0,0,0
28627,ROAD ACCIDENT,MAKUENI,29/08/2021,0,0,0
28626,ROAD ACCIDENT,MAKUENI,29/08/2021,0,0,0
28625,ROAD ACCIDENT,KAKAMEGA,29/08/2021,0,0,0
28624,ROAD ACCIDENT,KERICHO,29/08/2021,0,0,0
28623,ROAD ACCIDENT,NAIROBI,29/08/2021,0,0,0
28621,ROAD ACCIDENT,TAITA-TAVETA,29/08/2021,0,0,0
28619,ROAD ACCIDENT,BUNGOMA,21/08/2021,0,0,0
28618,ROAD ACCIDENT,NAIROBI,21/08/2021,0,0,0
28617,ROAD ACCIDENT,KAKAMEGA,20/08/2021,0,0,0
28616,ROAD ACCIDENT,NAIROBI,20/08/2021,0,0,0
28615,ROAD ACCIDENT,KIAMBU,20/08/2021,0,0,0
28614,ROAD ACCIDENT,HOMABAY,20/08/2021,0,0,0
28613,ROAD ACCIDENT,TAITA-TAVETA,18/08/2021,0,0,0
28612,ROAD ACCIDENT,HOMABAY,19/08/2021,0,0,0
28611,ROAD ACCIDENT,NAIROBI,19/08/2021,0,0,0
28610,ROAD ACCIDENT,BUNGOMA,19/08/2021,0,0,0
28608,ROAD ACCIDENT,MAKUENI,18/08/2021,0,0,0
28606,ROAD ACCIDENT,SIAYA,18/08/2021,0,0,0
28605,ROAD ACCIDENT,HOMABAY,18/08/2021,0,0,0
28604,ROAD ACCIDENT,KAKAMEGA,18/08/2021,0,0,0
28603,ROAD ACCIDENT,BUNGOMA,18/08/2021,0,0,0
28602,ROAD ACCIDENT,MACHAKOS,18/08/2021,0,0,0
28601,ROAD ACCIDENT,MACHAKOS,18/08/2021,0,0,0
28600,ROAD ACCIDENT,EMBU,17/08/2021,0,0,0
28598,ROAD ACCIDENT,NAIROBI,17/08/2021,0,0,0
28597,ROAD ACCIDENT,THARAKA-NITHI,16/08/2021,0,0,0
28596,ROAD ACCIDENT,MANDERA,15/08/2021,0,0,0
28595,ROAD ACCIDENT,NAIROBI,15/08/2021,0,0,0
28594,ROAD ACCIDENT,NAIROBI,15/08/2021,0,0,0
28593,ROAD ACCIDENT,KILIFI,15/08/2021,0,0,0
28592,ROAD ACCIDENT,WEST POKOT,13/08/2021,0,0,0
28591,ROAD ACCIDENT,BUNGOMA,13/08/2021,0,0,0
28590,ROAD ACCIDENT,MOMBASA,11/08/2021,0,0,0
28589,ROAD ACCIDENT,MIGORI,13/08/2021,0,0,0
28586,ROAD ACCIDENT,MURANGA,13/08/2021,0,0,0
28583,ROAD ACCIDENT,MURANGA,13/08/2021,0,0,0
28582,DROWNING,HOMABAY,05/08/2021,0,0,0
28581,ROAD ACCIDENT,EMBU,02/08/2021,0,0,0
28580,ROAD ACCIDENT,NAROK,02/08/2021,0,0,0
28578,ROAD ACCIDENT,NAIROBI,03/08/2021,0,0,0
28577,ROAD ACCIDENT,KIAMBU,02/08/2021,0,0,0
28576,ROAD ACCIDENT,KIAMBU,02/08/2021,0,0,0
28575,ROAD ACCIDENT,KIRINYAGA,02/08/2021,0,0,0
28574,ROAD ACCIDENT,KAKAMEGA,02/08/2021,0,0,0
28573,ROAD ACCIDENT,NAKURU,02/08/2021,0,0,0
28572,ROAD ACCIDENT,NAIROBI,01/08/2021,0,0,0
28570,ROAD ACCIDENT,NAKURU,30/07/2021,0,0,0
28569,DROWNING,KILIFI,01/08/2021,0,0,0
28568,ROAD ACCIDENT,NAIROBI,01/08/2021,0,0,0
28567,ROAD ACCIDENT,MIGORI,01/08/2021,0,0,0
28566,ROAD ACCIDENT,KIAMBU,01/08/2021,0,0,0
28565,ROAD ACCIDENT,KIAMBU,31/07/2021,0,0,0
28563,ROAD ACCIDENT,HOMABAY,01/08/2021,0,0,0
28562,TERROR ATTACK,MANDERA,31/07/2021,0,0,0
28559,STRUCTURAL COLLAPSE,KIAMBU,29/07/2021,0,0,0
28555,ROAD ACCIDENT,MAKUENI,30/07/2021,0,0,0
28554,ROAD ACCIDENT,NAIROBI,30/07/2021,0,0,0
28552,ROAD ACCIDENT,NAIROBI,30/07/2021,0,0,0
28551,ROAD ACCIDENT,NAIROBI,30/07/2021,0,0,0
28546,DROWNING,MOMBASA,17/10/2021,0,0,0
28545,ROAD ACCIDENT,ISIOLO,08/08/2021,0,0,0
28544,DROWNING,KISII,11/08/2021,0,0,0
28543,FIRE,KIAMBU,11/08/2021,0,0,0
28542,DROWNING,BOMET,11/08/2021,0,0,0
28541,FIRE,NAIROBI,10/08/2021,0,0,0
28540,ROAD ACCIDENT,NAIROBI,11/08/2021,0,0,0
28538,FIRE,NYERI,31/07/2021,0,0,0
28537,ROAD ACCIDENT,KIAMBU,31/07/2021,0,0,0
28529,ROAD ACCIDENT,KIAMBU,03/08/2021,0,0,0
28528,ROAD ACCIDENT,NAIROBI,08/08/2021,0,0,0
28526,ROAD ACCIDENT,NAIROBI,08/08/2021,0,0,0
28525,ROAD ACCIDENT,NAIROBI,07/08/2021,0,0,0
28524,FIRE,NAIROBI,08/08/2021,0,0,0
28523,ROAD ACCIDENT,EMBU,07/08/2021,0,0,0
28521,ROAD ACCIDENT,BARINGO,07/08/2021,0,0,0
28520,ROAD ACCIDENT,EMBU,08/08/2021,0,0,0
28519,ROAD ACCIDENT,BARINGO,07/08/2021,0,0,0
28518,ROAD ACCIDENT,NYANDARUA,08/08/2021,0,0,0
28517,ROAD ACCIDENT,KAJIADO,28/07/2021,0,0,0
28516,ROAD ACCIDENT,MURANGA,28/07/2021,0,0,0
28515,ROAD ACCIDENT,NAKURU,28/07/2021,0,0,0
28514,ROAD ACCIDENT,NAKURU,28/07/2021,0,0,0
28513,ROAD ACCIDENT,KILIFI,28/07/2021,0,0,0
28512,ROAD ACCIDENT,NAKURU,28/07/2021,0,0,0
28511,FIRE,SIAYA,11/08/2021,0,0,0
28509,ROAD ACCIDENT,TAITA-TAVETA,28/07/2021,0,0,0
28507,FIRE,NAROK,28/07/2021,0,0,0
28505,FIRE,NAIROBI,07/08/2021,0,0,0
28504,ROAD ACCIDENT,MOMBASA,06/08/2021,0,0,0
28503,ANIMAL INCIDENT,KWALE,06/08/2021,0,0,0
28502,DROWNING,HOMABAY,06/08/2021,0,0,0
28501,DROWNING,HOMABAY,06/08/2021,0,0,0
28500,ROAD ACCIDENT,MURANGA,29/07/2021,0,0,0
28499,DROWNING,BUSIA,29/07/2021,0,0,0
28498,ELECTROCUTION,KISUMU,29/07/2021,0,0,0
28497,DROWNING,SIAYA,29/07/2021,0,0,0
28496,DROWNING,NYANDARUA,29/07/2021,0,0,0
28495,FIRE,NAIROBI,29/07/2021,0,0,0
28494,FIRE,NAIROBI,29/07/2021,0,0,0
28493,ROAD ACCIDENT,KAKAMEGA,10/08/2021,0,0,0
28492,ROAD ACCIDENT,KAKAMEGA,10/08/2021,0,0,0
28491,ROAD ACCIDENT,MERU,07/08/2021,0,0,0
28490,ROAD ACCIDENT,NAIROBI,07/08/2021,0,0,0
28489,ROAD ACCIDENT,KAJIADO,29/07/2021,0,0,0
28488,ROAD ACCIDENT,MIGORI,29/07/2021,0,0,0
28487,FIRE,KISII,07/08/2021,0,0,0
28486,ROAD ACCIDENT,WEST POKOT,29/07/2021,0,0,0
28485,ROAD ACCIDENT,NAIROBI,29/07/2021,0,0,0
28484,ROAD ACCIDENT,NAKURU,29/07/2021,0,0,0
28483,ROAD ACCIDENT,MACHAKOS,29/07/2021,0,0,0
28482,ROAD ACCIDENT,MACHAKOS,29/07/2021,0,0,0
28481,ROAD ACCIDENT,NYERI,29/07/2021,0,0,0
28480,FIRE,NANDI,09/08/2021,0,0,0
28479,ROAD ACCIDENT,MACHAKOS,21/07/2021,0,0,0
28478,FIRE,KIRINYAGA,20/07/2021,0,0,0
28477,DROWNING,KISII,20/07/2021,0,0,0
28475,ROAD ACCIDENT,MURANGA,20/07/2021,0,0,0
28474,ROAD ACCIDENT,KILIFI,19/07/2021,0,0,0
28473,ROAD ACCIDENT,MACHAKOS,20/07/2021,0,0,0
28472,ROAD ACCIDENT,LAIKIPIA,18/07/2021,0,0,0
28471,ROAD ACCIDENT,KISII,19/07/2021,0,0,0
28469,ROAD ACCIDENT,NAROK,19/07/2021,0,0,0
28468,DROWNING,BUNGOMA,09/08/2021,0,0,0
28467,ROAD ACCIDENT,TAITA-TAVETA,18/07/2021,0,0,0
28466,ROAD ACCIDENT,TAITA-TAVETA,18/07/2021,0,0,0
28465,ROAD ACCIDENT,MURANGA,18/07/2021,0,0,0
28464,FIRE,NAIROBI,18/07/2021,0,0,0
28463,ROAD ACCIDENT,NAIROBI,19/07/2021,0,0,0
28462,FIRE,SIAYA,18/07/2021,0,0,0
28461,FIRE,KIAMBU,18/07/2021,0,0,0
28460,ROAD ACCIDENT,NAKURU,18/07/2021,0,0,0
28459,ROAD ACCIDENT,NAIROBI,18/07/2021,0,0,0
28458,ROAD ACCIDENT,NAIROBI,09/08/2021,0,0,0
28455,FIRE,BUSIA,13/07/2021,0,0,0
28454,ROAD ACCIDENT,KITUI,13/07/2021,0,0,0
28452,ROAD ACCIDENT,NAROK,13/07/2021,0,0,0
28451,DROWNING,KISII,13/07/2021,0,0,0
28450,DROWNING,KISII,13/07/2021,0,0,0
28449,ROAD ACCIDENT,NAIROBI,13/07/2021,0,0,0
28448,ROAD ACCIDENT,KERICHO,13/07/2021,0,0,0
28447,ROAD ACCIDENT,KAJIADO,06/08/2021,0,0,0
28445,DROUGHT,MACHAKOS,06/08/2021,0,0,0
28444,ROAD ACCIDENT,NAIROBI,06/08/2021,0,0,0
28443,DROWNING,BUSIA,25/07/2021,0,0,0
28442,DROWNING,BUSIA,25/07/2021,0,0,0
28440,ROAD ACCIDENT,KAJIADO,29/07/2021,0,0,0
28440,ROAD ACCIDENT,KAJIADO,29/07/2021,0,0,0
28438,ROAD ACCIDENT,MERU,16/07/2021,0,0,0
28436,DROWNING,KISUMU,16/07/2021,0,0,0
28434,DROWNING,BOMET,16/07/2021,0,0,0
28433,ROAD ACCIDENT,NAIROBI,16/07/2021,0,0,0
28432,ROAD ACCIDENT,NAIROBI,16/07/2021,0,0,0
28431,ROAD ACCIDENT,NAKURU,15/07/2021,0,0,0
28430,ROAD ACCIDENT,MURANGA,2021/7/153,0,0,0
28429,FIRE,MACHAKOS,14/07/2021,0,0,0
28428,ROAD ACCIDENT,MACHAKOS,15/07/2021,0,0,0
28427,ROAD ACCIDENT,KIAMBU,14/07/2021,0,0,0
28426,ROAD ACCIDENT,KIAMBU,14/07/2021,0,0,0
28425,DROWNING,HOMABAY,11/07/2021,0,0,0
28425,DROWNING,HOMABAY,21/07/2021,0,0,0
28424,DROWNING,MACHAKOS,11/07/2021,0,0,0
28424,DROWNING,MACHAKOS,11/07/2021,0,0,0
28422,ROAD ACCIDENT,NAIROBI,11/07/2021,0,0,0
28422,ROAD ACCIDENT,NAIROBI,11/07/2021,0,0,0
28420,ROAD ACCIDENT,NAIROBI,11/07/2021,0,0,0
28418,ROAD ACCIDENT,KIAMBU,12/07/2021,0,0,0
28417,ROAD ACCIDENT,MACHAKOS,12/07/2021,0,0,0
28416,ROAD ACCIDENT,MACHAKOS,12/07/2021,0,0,0
28415,DROWNING,KERICHO,12/07/2021,0,0,0
28414,FIRE,BUSIA,12/07/2021,1,1,0
28413,DROWNING,KAJIADO,12/07/2021,0,0,0
28412,ROAD ACCIDENT,NAIROBI,12/07/2021,0,0,0
28411,FIRE,TAITA-TAVETA,2021/7/114,0,0,0
28410,DROWNING,NANDI,14/07/2021,0,0,0
28409,ROAD ACCIDENT,NANDI,14/07/2021,0,0,0
28408,ROAD ACCIDENT,KIRINYAGA,14/07/2021,0,0,0
28407,ROAD ACCIDENT,KIRINYAGA,14/07/2021,0,0,0
28406,ROAD ACCIDENT,HOMABAY,2021/7/113,0,0,0
28405,FIRE,NAIROBI,14/07/2021,0,0,0
28404,FIRE,BARINGO,12/07/2021,0,0,0
28403,DROWNING,VIHIGA,13/07/2021,0,0,0
28397,ROAD ACCIDENT,NAKURU,08/07/2021,0,0,0
28396,ROAD ACCIDENT,NAIROBI,08/07/2021,0,0,0
28395,FIRE,NAIROBI,08/07/2021,0,0,0
28394,ROAD ACCIDENT,NAIROBI,08/07/2021,0,0,0
28393,ROAD ACCIDENT,KISUMU,08/07/2021,0,0,0
28392,ROAD ACCIDENT,KITUI,09/07/2021,0,0,0
28391,ROAD ACCIDENT,KAJIADO,09/07/2021,0,0,0
28390,FIRE,TAITA-TAVETA,08/07/2021,0,0,0
28389,ROAD ACCIDENT,KIAMBU,08/07/2021,0,0,0
28388,ROAD ACCIDENT,EMBU,07/07/2021,0,0,0
28387,ROAD ACCIDENT,KAKAMEGA,09/07/2021,0,0,0
28386,ROAD ACCIDENT,BARINGO,07/07/2021,0,0,0
28385,ROAD ACCIDENT,MURANGA,14/07/2021,0,0,0
28384,ROAD ACCIDENT,MURANGA,14/07/2021,0,0,0
28383,ROAD ACCIDENT,NAROK,09/07/2021,0,0,0
28382,ROAD ACCIDENT,MURANGA,07/07/2021,0,0,0
28381,ROAD ACCIDENT,MACHAKOS,14/07/2021,0,0,0
28380,FIRE,NAIROBI,08/07/2021,0,0,0
28379,ROAD ACCIDENT,MACHAKOS,08/07/2021,0,0,0
28378,ROAD ACCIDENT,KIRINYAGA,05/07/2021,0,0,0
28377,ROAD ACCIDENT,NYANDARUA,06/07/2021,0,0,0
28375,ROAD ACCIDENT,NAIROBI,01/07/2021,0,0,0
28376,ROAD ACCIDENT,MURANGA,06/07/2021,0,0,0
28374,ROAD ACCIDENT,LAIKIPIA,06/07/2021,0,0,0
28373,DROWNING,BUSIA,05/07/2021,0,0,0
28370,ROAD ACCIDENT,KISII,01/07/2021,0,0,0
28372,ROAD ACCIDENT,NAIROBI,05/07/2021,0,0,0
28371,ROAD ACCIDENT,KAKAMEGA,05/07/2021,0,0,0
28369,ROAD ACCIDENT,HOMABAY,05/07/2021,0,0,0
28368,ROAD ACCIDENT,BUSIA,05/07/2021,0,0,0
28367,ROAD ACCIDENT,,01/07/2021,0,0,0
28365,ROAD ACCIDENT,KISII,05/07/2021,0,0,0
28364,ROAD ACCIDENT,KIAMBU,06/07/2021,0,0,0
28363,DROWNING,KAKAMEGA,07/07/2021,0,0,0
28361,FIRE,KIAMBU,04/07/2021,0,0,0
28360,ROAD ACCIDENT,NAIROBI,04/07/2021,0,0,0
28359,ROAD ACCIDENT,NAKURU,02/07/2021,0,0,0
28357,ROAD ACCIDENT,KIAMBU,03/07/2021,0,0,0
28358,ROAD ACCIDENT,BOMET,02/07/2021,0,0,0
28356,ROAD ACCIDENT,KAJIADO,02/07/2021,0,0,0
28355,DROWNING,MERU,01/07/2021,0,0,0
28354,ROAD ACCIDENT,MACHAKOS,03/07/2021,0,0,0
28353,ROAD ACCIDENT,NYAMIRA,02/07/2021,0,0,0
28352,WINDSTORM,EMBU,02/07/2021,0,0,0
28351,WINDSTORM,MERU,04/07/2021,0,0,0
28350,ROAD ACCIDENT,MURANGA,02/07/2021,0,0,0
28348,ROAD ACCIDENT,NAIROBI,04/07/2021,0,0,0
28349,DROWNING,KWALE,02/07/2021,0,0,0
28347,ROAD ACCIDENT,NAIROBI,05/07/2021,0,0,0
28346,FIRE,NAROK,01/07/2021,0,0,0
28344,ROAD ACCIDENT,NAIROBI,04/07/2021,0,0,0
28345,ROAD ACCIDENT,KAKAMEGA,02/07/2021,0,0,0
28343,ROAD ACCIDENT,NAKURU,01/07/2021,0,0,0
28342,ROAD ACCIDENT,NAIROBI,04/07/2021,0,0,0
28340,ROAD ACCIDENT,NAKURU,02/07/2021,0,0,0
28341,ROAD ACCIDENT,KAJIADO,04/07/2021,0,0,0
28339,ROAD ACCIDENT,KAJIADO,04/07/2021,0,0,0
28337,ROAD ACCIDENT,TAITA-TAVETA,30/06/2021,0,0,0
28336,ROAD ACCIDENT,NAIROBI,30/06/2021,0,0,0
28335,DROWNING,MACHAKOS,30/06/2021,0,0,0
28334,ROAD ACCIDENT,KIAMBU,01/07/2021,0,0,0
28333,FLOOD,WEST POKOT,29/06/2021,0,0,0
28332,FIRE,KAKAMEGA,02/07/2021,0,0,0
28331,FIRE,TANA-RIVER,21/06/2021,0,0,0
28330,FIRE,NAROK,21/06/2021,0,0,0
28329,ROAD ACCIDENT,MURANGA,02/07/2021,0,0,0
28328,DROWNING,KERICHO,02/07/2021,0,0,0
28327,ROAD ACCIDENT,MARSABIT,21/06/2021,0,0,0
28326,ROAD ACCIDENT,VIHIGA,21/06/2021,0,0,0
28325,ROAD ACCIDENT,MURANGA,29/06/2021,0,0,0
28323,ROAD ACCIDENT,MURANGA,29/06/2021,0,0,0
28324,FIRE,NAIROBI,21/06/2021,0,0,0
28322,ROAD ACCIDENT,KIAMBU,21/06/2021,0,0,0
28322,ROAD ACCIDENT,KIAMBU,21/06/2021,0,0,0
28320,ROAD ACCIDENT,KIAMBU,29/06/2021,0,0,0
28321,FIRE,LAMU,02/07/2021,0,0,0
28318,DROWNING,KAKAMEGA,23/06/2021,0,0,0
28317,ELECTROCUTION,MOMBASA,24/06/2021,0,0,0
28316,DROWNING,EMBU,24/06/2021,0,0,0
28314,FIRE,MURANGA,24/06/2021,0,0,0
28313,ROAD ACCIDENT,TAITA-TAVETA,26/06/2021,0,0,0
28312,ROAD ACCIDENT,MOMBASA,26/06/2021,0,0,0
28311,ROAD ACCIDENT,KITUI,26/06/2021,0,0,0
28310,ROAD ACCIDENT,KILIFI,26/06/2021,0,0,0
28307,FIRE,NAIROBI,2021/25/6,0,0,0
28306,ROAD ACCIDENT,MIGORI,24/06/2021,0,0,0
28305,ROAD ACCIDENT,VIHIGA,27/06/2021,0,0,0
28304,DROWNING,VIHIGA,2021/27/6,0,0,0
28303,ROAD ACCIDENT,VIHIGA,26/06/2021,0,0,0
28302,DROWNING,UASIN-GISHU,26/06/2021,0,0,0
28301,DROWNING,KIAMBU,26/06/2021,0,0,0
28300,ROAD ACCIDENT,MOMBASA,27/06/2021,0,0,0
28296,ROAD ACCIDENT,NAIROBI,26/06/2021,0,0,0
28295,DROWNING,KERICHO,26/06/2021,0,0,0
28294,ROAD ACCIDENT,MURANGA,01/07/2021,0,0,0
28292,ROAD ACCIDENT,MURANGA,28/06/2021,0,0,0
28291,FIRE,KISUMU,28/06/2021,0,0,0
28290,FIRE,NYAMIRA,28/06/2021,0,0,0
28288,ROAD ACCIDENT,KISII,28/06/2021,0,0,0
28287,DROWNING,VIHIGA,28/06/2021,0,0,0
28286,ROAD ACCIDENT,NAIROBI,26/06/2021,0,0,0
28284,ROAD ACCIDENT,NAIROBI,28/06/2021,0,0,0
28283,WINDSTORM,MERU,28/06/2021,0,0,0
28282,ROAD ACCIDENT,KITUI,2021/6/280,0,0,0
28281,ROAD ACCIDENT,SIAYA,28/06/2021,0,0,0
28280,ROAD ACCIDENT,KAKAMEGA,28/06/2021,0,0,0
28279,FIRE,NAROK,25/06/2021,0,0,0
28277,DROWNING,MURANGA,28/06/2021,0,0,0
28276,DROWNING,HOMABAY,25/06/2021,0,0,0
28275,WINDSTORM,MERU,25/06/2021,0,0,0
28274,ROAD ACCIDENT,BOMET,25/06/2021,0,0,0
28273,ROAD ACCIDENT,MIGORI,25/06/2021,0,0,0
28272,ROAD ACCIDENT,MERU,22/06/2021,0,0,0
28271,ROAD ACCIDENT,MACHAKOS,23/06/2021,0,0,0
28270,ROAD ACCIDENT,MURANGA,23/06/2021,0,0,0
28269,ROAD ACCIDENT,BUNGOMA,23/06/2021,0,0,0
28268,ROAD ACCIDENT,NAIROBI,23/06/2021,0,0,0
28267,ROAD ACCIDENT,NAIROBI,24/06/2021,0,0,0
28266,TERROR ATTACK,MANDERA,23/06/2021,0,0,0
28265,FIRE,MERU,22/06/2021,0,0,0
28264,DROWNING,KAKAMEGA,22/06/2021,0,0,0
28263,ROAD ACCIDENT,KILIFI,22/06/2021,0,0,0
28262,DROWNING,KILIFI,22/06/2021,0,0,0
28261,ROAD ACCIDENT,NAIROBI,2021/6/222,0,0,0
28260,ROAD ACCIDENT,NAIROBI,22/06/2021,0,0,0
28259,FIRE,NAIROBI,22/06/2021,0,0,0
28258,ROAD ACCIDENT,KIAMBU,22/06/2021,0,0,0
28257,ROAD ACCIDENT,KISUMU,20/06/2021,0,0,0
28256,ROAD ACCIDENT,ISIOLO,20/06/2021,0,0,0
28255,ROAD ACCIDENT,NAIROBI,19/06/2021,0,0,0
28254,ROAD ACCIDENT,NAIROBI,19/06/2021,0,0,0
28253,FIRE,NAIROBI,20/06/2021,0,0,0
28251,ROAD ACCIDENT,NAKURU,18/06/2021,0,0,0
28250,ROAD ACCIDENT,LAIKIPIA,18/06/2021,0,0,0
28249,ROAD ACCIDENT,NAIROBI,19/06/2021,0,0,0
28248,ROAD ACCIDENT,EMBU,18/06/2021,0,0,0
28245,FIRE,WEST POKOT,18/06/2021,0,0,0
28247,ROAD ACCIDENT,HOMABAY,18/06/2021,0,0,0
28246,DROWNING,NAIROBI,18/06/2021,0,0,0
28244,FIRE,NYANDARUA,16/06/2021,0,0,0
28243,DROWNING,NAIROBI,17/06/2021,0,0,0
28242,ROAD ACCIDENT,NAIROBI,17/06/2021,0,0,0
28241,ROAD ACCIDENT,NAIROBI,17/06/2021,0,0,0
28240,ROAD ACCIDENT,NAIROBI,17/06/2021,0,0,0
28239,ROAD ACCIDENT,MIGORI,17/06/2021,0,0,0
28238,ROAD ACCIDENT,KIAMBU,15/06/2021,0,0,0
28236,ROAD ACCIDENT,NAIROBI,17/06/2021,0,0,0
28235,ROAD ACCIDENT,MACHAKOS,16/06/2021,0,0,0
28234,DROWNING,MURANGA,2021/6/166,0,0,0
28233,ROAD ACCIDENT,VIHIGA,13/06/2021,0,0,0
28231,ROAD ACCIDENT,MERU,14/06/2021,0,0,0
28230,ROAD ACCIDENT,BUSIA,13/06/2021,0,0,0
28229,ROAD ACCIDENT,WEST POKOT,13/06/2021,0,0,0
28228,STRUCTURAL COLLAPSE,SIAYA,2021/6/115,0,0,0
28227,ROAD ACCIDENT,KISII,13/06/2021,0,0,0
28226,DROWNING,NAROK,2021/6/114,0,0,0
28225,ROAD ACCIDENT,NYANDARUA,13/06/2021,0,0,0
28223,ROAD ACCIDENT,LAIKIPIA,14/06/2021,0,0,0
28221,DROWNING,KIAMBU,13/06/2021,0,0,0
28222,ROAD ACCIDENT,NAIROBI,14/06/2021,0,0,0
28219,ROAD ACCIDENT,MOMBASA,14/06/2021,0,0,0
28218,ROAD ACCIDENT,MOMBASA,2021/6/113,0,0,0
28217,ROAD ACCIDENT,KAKAMEGA,2021/6/114,0,0,0
28216,ROAD ACCIDENT,KAKAMEGA,14/06/2021,0,0,0
28215,ANIMAL INCIDENT,MARSABIT,30/04/2021,0,0,0
28214,ROAD ACCIDENT,KAJIADO,12/06/2021,0,0,0
28212,ROAD ACCIDENT,MERU,12/06/2021,0,0,0
28211,ROAD ACCIDENT,NAIROBI,13/06/2021,0,0,0
